Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,1e-06,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.001,0.05,0.05,0.05
Vertical Position,-4.34,-4.66,-4.64,-4.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.990e-06,-0.0003,0.001,-0.004,-0.005
-3.980e-06,-0.00034,0.001,-0.004,-0.009
-3.970e-06,-0.00026,-0.001,-0.002,-0.009
-3.960e-06,-0.00034,0.001,-0.004,-0.009
-3.950e-06,-0.00026,-0.001,-0.004,-0.007
-3.940e-06,-0.00034,-0.003,-0.004,-0.009
-3.930e-06,-0.0003,-0.003,-0.004,-0.009
-3.920e-06,-0.00042,-0.001,-0.004,-0.007
-3.910e-06,-0.00038,-0.003,-0.002,-0.009
-3.900e-06,-0.00038,-0.001,-0.002,-0.007
-3.890e-06,-0.00026,-0.005,-0.002,-0.009
-3.880e-06,-0.00038,-0.001,0,-0.007
-3.870e-06,-0.00034,-0.003,-0.004,-0.005
-3.860e-06,-0.0001,-0.003,-0.004,-0.005
-3.850e-06,-0.00018,-0.001,-0.004,-0.005
-3.840e-06,-0.00042,0.001,-0.002,-0.007
-3.830e-06,-0.0005,-0.001,-0.004,-0.007
-3.820e-06,-0.00034,-0.001,0,-0.007
-3.810e-06,-0.00034,0.001,-0.004,-0.007
-3.800e-06,-0.0003,0.001,-0.004,-0.007
-3.790e-06,-0.00038,-0.003,-0.004,-0.011
-3.780e-06,-0.0003,-0.003,-0.004,-0.009
-3.770e-06,-0.00034,-0.001,-0.004,-0.011
-3.760e-06,-0.0003,0.001,-0.004,-0.007
-3.750e-06,-0.0003,-0.001,-0.004,-0.009
-3.740e-06,-0.00026,0.001,-0.006,-0.007
-3.730e-06,-0.00018,-0.001,-0.002,-0.005
-3.720e-06,-0.0005,0.001,-0.004,-0.011
-3.710e-06,-0.00038,-0.003,-0.002,-0.009
-3.700e-06,-0.00018,-0.001,-0.004,-0.007
-3.690e-06,-0.00034,-0.001,-0.002,-0.009
-3.680e-06,-0.0001,-0.003,-0.004,-0.007
-3.670e-06,-0.0003,-0.001,-0.004,-0.005
-3.660e-06,-0.00018,-0.001,-0.004,-0.005
-3.650e-06,-0.00022,-0.003,-0.002,-0.009
-3.640e-06,-0.0003,-0.001,-0.002,-0.009
