Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,6.7e-08,6.7e-08,6.7e-08,6.7e-08
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.002,0.002,0.002
Vertical Position,-3.9,-3.94,-3.98,-4.04
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.520e-08,0.000280313,0.000506562,0.000154375,0.000667187
-1.500e-08,0.000290312,0.000521875,0.000174375,0.000665937
-1.480e-08,0.000285625,0.00051625,0.000179687,0.000641875
-1.460e-08,0.000299062,0.00051375,0.00018625,0.000637812
-1.440e-08,0.000298438,0.000525312,0.000170625,0.000628437
-1.420e-08,0.000304375,0.000522812,0.000165312,0.000629375
-1.400e-08,0.000306875,0.000531875,0.00015625,0.000635625
-1.380e-08,0.000306562,0.000534062,0.00016875,0.000640625
-1.360e-08,0.00031125,0.00052625,0.00018125,0.000639375
-1.340e-08,0.000308437,0.000519375,0.000195625,0.000645313
-1.320e-08,0.00030375,0.000510312,0.000202187,0.00065625
-1.300e-08,0.000300937,0.000509375,0.000193437,0.000652812
-1.280e-08,0.000289375,0.000513125,0.00018625,0.000649688
-1.260e-08,0.000295312,0.000512812,0.000182812,0.000655625
-1.240e-08,0.000279375,0.000516562,0.00016,0.00065875
-1.220e-08,0.000295625,0.000517187,0.000154375,0.00066375
-1.200e-08,0.000286875,0.00052875,0.00013875,0.000656875
-1.180e-08,0.000281875,0.00052125,0.000133437,0.000647812
-1.160e-08,0.000285937,0.000534062,0.00013125,0.000638438
-1.140e-08,0.000297812,0.000540937,0.000135,0.000647812
-1.120e-08,0.000291563,0.00053875,0.0001275,0.000641562
-1.100e-08,0.000297187,0.000527812,0.000126875,0.0006375
-1.080e-08,0.000299687,0.000525625,0.00012125,0.000646875
-1.060e-08,0.000305625,0.000514375,0.000128125,0.00064
-1.040e-08,0.00030125,0.000509062,0.000129375,0.00064125
-1.020e-08,0.000305,0.000493125,0.000134375,0.000641562
-1.000e-08,0.000300625,0.00049625,0.00011875,0.000637187
-9.800e-09,0.000311563,0.000503437,0.000128125,0.0006425
-9.600e-09,0.000315,0.0005025,0.000119062,0.000641562
-9.400e-09,0.00030875,0.000504062,0.000123125,0.000647812
-9.200e-09,0.000303437,0.000505312,0.0001175,0.000651875
-9.000e-09,0.000310312,0.000491562,0.000124687,0.00065
-8.800e-09,0.00030375,0.000496875,0.000124687,0.00065875
-8.600e-09,0.000317187,0.000515937,0.000135,0.000666562
-8.400e-09,0.000310625,0.000505937,0.000129062,0.00067125
-8.200e-09,0.000312812,0.00051375,0.000136562,0.000686562
-8.000e-09,0.000310625,0.000525312,0.00013875,0.000687813
-7.800e-09,0.000314375,0.000531562,0.000149687,0.000680312
-7.600e-09,0.000312187,0.0005375,0.0001475,0.00068125
-7.400e-09,0.000309063,0.000531562,0.000146875,0.0006875
-7.200e-09,0.00031375,0.000536875,0.000133125,0.000694375
-7.000e-09,0.000308437,0.000535,0.00013625,0.000691875
-6.800e-09,0.000314375,0.000541562,0.000139062,0.000695625
-6.600e-09,0.00030875,0.000534375,0.000144687,0.00069625
-6.400e-09,0.0003,0.000536875,0.00013625,0.000700625
-6.200e-09,0.000306562,0.000542187,0.000131562,0.000692812
-6.000e-09,0.00029125,0.000545,0.000120625,0.000689688
-5.800e-09,0.000298125,0.000549375,0.000116875,0.000694687
-5.600e-09,0.000288437,0.000552187,0.000100937,0.0006975
-5.400e-09,0.000289688,0.000546875,8.59375e-05,0.00069375
-5.200e-09,0.000285312,0.00055,6.375e-05,0.000698125
-5.000e-09,0.000306875,0.000544375,7.375e-05,0.0006925
-4.800e-09,0.000294063,0.000538437,6.6875e-05,0.0006825
-4.600e-09,0.000285937,0.00052625,7.5e-05,0.000686562
-4.400e-09,0.000278438,0.00052875,8.71875e-05,0.000695
-4.200e-09,0.000289688,0.0005125,0.0001075,0.000698437
-4.000e-09,0.000289063,0.000507812,0.0001125,0.000697187
-3.800e-09,0.000291563,0.000496875,0.000112813,0.000684375
-3.600e-09,0.0002925,0.000501875,0.000119062,0.000684375
-3.400e-09,0.00029,0.00049875,0.0001275,0.000690312
-3.200e-09,0.000304062,0.000500625,0.00011875,0.000684687
-3.000e-09,0.000304062,0.000492187,0.00013125,0.000680625
-2.800e-09,0.000300313,0.000507187,0.000122812,0.000673125
-2.600e-09,0.000290312,0.000502812,0.000129375,0.000665625
-2.400e-09,0.000289375,0.000516562,0.00013125,0.000668125
-2.200e-09,0.000299062,0.000519375,0.000141562,0.000671562
-2.000e-09,0.00027875,0.000504375,0.000115625,0.000656563
-1.800e-09,0.00028,0.00050375,0.000120937,0.000657187
-1.600e-09,0.00027875,0.000505937,0.00012875,0.000654063
-1.400e-09,0.000285312,0.000505,0.000154062,0.000664375
-1.200e-09,0.00028,0.000502812,0.00015875,0.00066625
-1.000e-09,0.000281875,0.000497812,0.000160625,0.00065625
-8.000e-10,0.00028,0.0005025,0.000166875,0.000652812
-6.000e-10,0.000281875,0.0004925,0.000182187,0.000658438
-4.000e-10,0.00028375,0.000507187,0.000188125,0.00066
-2.000e-10,0.00029125,0.000505,0.000181562,0.000645
-0.000e+00,0.000286875,0.000506875,0.000172187,0.000645313
2.000e-10,0.000290937,0.000509062,0.000174687,0.000651875
4.000e-10,0.00028,0.00051,0.0001725,0.000657812
6.000e-10,0.000292187,0.000504687,0.000189687,0.00067125
8.000e-10,0.00028625,0.000511562,0.000204062,0.0006775
1.000e-09,0.0002925,0.00050125,0.000220312,0.000682187
1.200e-09,0.000298125,0.000510625,0.00022875,0.000683125
1.400e-09,0.000307812,0.000520312,0.000230312,0.000695
1.600e-09,0.000305625,0.000526562,0.00022375,0.000694062
1.800e-09,0.000302187,0.000516562,0.000222812,0.00071625
2.000e-09,0.000310312,0.000524062,0.00021375,0.000740312
2.200e-09,0.000309375,0.000522812,0.000203125,0.00076625
2.400e-09,0.000314687,0.000527187,0.000178437,0.00078125
2.600e-09,0.000324062,0.000523125,0.000160937,0.000733125
2.800e-09,0.000331875,0.0005325,0.000148125,0.00067
3.000e-09,0.000354375,0.000537812,0.000164062,0.00063375
3.200e-09,0.000379687,0.0005975,0.000235937,0.000660312
3.400e-09,0.000486875,0.00072,0.000440937,0.0007575
3.600e-09,0.00075375,0.00105687,0.0009625,0.00099375
3.800e-09,0.00145188,0.00187969,0.00235375,0.00155906
4.000e-09,0.00328969,0.00406469,0.00597938,0.00305906
4.200e-09,0.00793406,0.00972281,0.0137741,0.00712031
4.400e-09,0.0161122,0.0170666,0.0179663,0.0154403
4.600e-09,0.0179203,0.017995,0.0180803,0.0181194
4.800e-09,0.0179212,0.0180012,0.0180813,0.0182013
5.000e-09,0.0179209,0.0180009,0.0180809,0.0182009
5.200e-09,0.01792,0.018,0.01808,0.0182
5.400e-09,0.0179238,0.0180037,0.0180838,0.0182038
5.600e-09,0.0179216,0.0180016,0.0180816,0.0182016
5.800e-09,0.0179222,0.0180022,0.0180822,0.0182022
6.000e-09,0.0179206,0.0180006,0.0180806,0.0182006
6.200e-09,0.01792,0.018,0.01808,0.0182
6.400e-09,0.0179212,0.0180012,0.0180813,0.0182013
6.600e-09,0.0179203,0.0180003,0.0180803,0.0182003
6.800e-09,0.0179209,0.0180009,0.0180809,0.0182009
7.000e-09,0.01792,0.018,0.01808,0.0182
7.200e-09,0.0179203,0.0180003,0.0180803,0.0182003
7.400e-09,0.0179203,0.0180003,0.0180803,0.0182003
7.600e-09,0.01792,0.018,0.01808,0.0182
7.800e-09,0.0179209,0.0180009,0.0180809,0.0182009
8.000e-09,0.0179238,0.0180037,0.0180838,0.0182038
8.200e-09,0.0179203,0.0180003,0.0180803,0.0182003
8.400e-09,0.0179209,0.0180009,0.0180809,0.0182009
8.600e-09,0.0179203,0.0180003,0.0180803,0.0182003
