Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,6.7e-08,6.7e-08,6.7e-08,6.7e-08
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.9,-3.94,-3.98,-4.04
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.300e-08,-0.0122188,-0.00934375,-0.00625,0.00315625
-3.280e-08,-0.0120938,-0.00960937,-0.0069375,0.00317187
-3.260e-08,-0.0122813,-0.00971875,-0.0066875,0.00329688
-3.240e-08,-0.01225,-0.00932812,-0.0068125,0.00309375
-3.220e-08,-0.0123594,-0.00984375,-0.00660937,0.00290625
-3.200e-08,-0.0124844,-0.00960937,-0.00664063,0.00314063
-3.180e-08,-0.0122031,-0.00989062,-0.00629687,0.00354688
-3.160e-08,-0.01275,-0.00973438,-0.00625,0.00339063
-3.140e-08,-0.0123125,-0.00984375,-0.006125,0.00282813
-3.120e-08,-0.0122969,-0.00970312,-0.00685938,0.00325
-3.100e-08,-0.012375,-0.010125,-0.00651562,0.0028125
-3.080e-08,-0.0126719,-0.00979687,-0.0063125,0.00296875
-3.060e-08,-0.0121719,-0.0094375,-0.00565625,0.00353125
-3.040e-08,-0.0127031,-0.00920312,-0.00629687,0.00321875
-3.020e-08,-0.0125781,-0.00998437,-0.006625,0.002875
-3.000e-08,-0.012375,-0.00978125,-0.00671875,0.00326562
-2.980e-08,-0.0120781,-0.00965625,-0.00635938,0.00317187
-2.960e-08,-0.0122188,-0.00946875,-0.00701562,0.00298438
-2.940e-08,-0.0121719,-0.00939062,-0.00671875,0.00290625
-2.920e-08,-0.0125156,-0.009375,-0.00671875,0.00298438
-2.900e-08,-0.0120156,-0.00954688,-0.0061875,0.00359375
-2.880e-08,-0.0121094,-0.00915625,-0.00671875,0.00296875
-2.860e-08,-0.0124687,-0.009625,-0.00679687,0.00309375
-2.840e-08,-0.0127031,-0.0095625,-0.006625,0.00303125
-2.820e-08,-0.0122344,-0.00976562,-0.00690625,0.00282813
-2.800e-08,-0.0124219,-0.00946875,-0.00665625,0.00289063
-2.780e-08,-0.0123594,-0.00925,-0.00596875,0.00325
-2.760e-08,-0.012625,-0.0100625,-0.00715625,0.00284375
-2.740e-08,-0.0125,-0.00975,-0.00673438,0.0030625
-2.720e-08,-0.0123125,-0.0098125,-0.00689062,0.00307813
-2.700e-08,-0.0123281,-0.00934375,-0.00645313,0.00346875
-2.680e-08,-0.0123281,-0.0093125,-0.0063125,0.003
-2.660e-08,-0.0125469,-0.0099375,-0.00617187,0.00270313
-2.640e-08,-0.0122969,-0.0095625,-0.00689062,0.0031875
-2.620e-08,-0.0123594,-0.00990625,-0.00659375,0.00301563
-2.600e-08,-0.0120938,-0.0094375,-0.00654688,0.0031875
-2.580e-08,-0.0122969,-0.010125,-0.0065625,0.00309375
