Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,2.8e-10,2.8e-10,2.8e-10,2.8e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.98,-3.98,-3.9,-4.1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-8.312e-08,-0.00695313,-0.00739062,-0.00884375,0.0010625
-8.292e-08,-0.0065,-0.00717187,-0.00896875,0.00151562
-8.272e-08,-0.00757812,-0.00785938,-0.00864063,0.000921875
-8.252e-08,-0.00725,-0.0076875,-0.00882813,0.00103125
-8.232e-08,-0.0065625,-0.00753125,-0.00878125,0.00135937
-8.212e-08,-0.00721875,-0.0076875,-0.00882813,0.000703125
-8.192e-08,-0.00732812,-0.00782812,-0.00870312,0.0005
-8.172e-08,-0.00696875,-0.0074375,-0.00860937,0.00120312
-8.152e-08,-0.00748437,-0.007875,-0.00898437,0.000703125
-8.132e-08,-0.00734375,-0.00785938,-0.00885938,0.000984375
-8.112e-08,-0.00714063,-0.00754688,-0.00851562,0.00128125
-8.092e-08,-0.00671875,-0.00754688,-0.00840625,0.001375
-8.072e-08,-0.00725,-0.00778125,-0.008375,0.00110937
-8.052e-08,-0.00728125,-0.00784375,-0.00873438,0.0011875
-8.032e-08,-0.00740625,-0.00753125,-0.00878125,0.00110937
-8.012e-08,-0.00709375,-0.00765625,-0.00873438,0.00117187
-7.992e-08,-0.00704688,-0.00754688,-0.00867187,0.000921875
-7.972e-08,-0.007125,-0.0078125,-0.00865625,0.0009375
-7.952e-08,-0.00675,-0.00735938,-0.00921875,0.00126562
-7.932e-08,-0.0068125,-0.00789062,-0.00851562,0.000953125
-7.912e-08,-0.00689062,-0.00760937,-0.00903125,0.000984375
-7.892e-08,-0.00725,-0.00759375,-0.00848437,0.00120312
-7.872e-08,-0.00720312,-0.00751562,-0.00879687,0.00110937
-7.852e-08,-0.0070625,-0.007875,-0.00867187,0.0009375
-7.832e-08,-0.00673438,-0.00764063,-0.00875,0.00128125
-7.812e-08,-0.00692187,-0.00785938,-0.00826562,0.001
-7.792e-08,-0.00710937,-0.00764063,-0.00882813,0.000890625
-7.772e-08,-0.00692187,-0.00757812,-0.00910937,0.001
-7.752e-08,-0.00709375,-0.00765625,-0.00882813,0.00123437
-7.732e-08,-0.00732812,-0.00767187,-0.00889062,0.00096875
-7.712e-08,-0.00690625,-0.0075,-0.00879687,0.001
-7.692e-08,-0.0074375,-0.007875,-0.00865625,0.000875
-7.672e-08,-0.00704688,-0.00765625,-0.00904688,0.00115625
-7.652e-08,-0.00653125,-0.0074375,-0.00876562,0.00154687
-7.632e-08,-0.00745313,-0.00796875,-0.00848437,0.00075
-7.612e-08,-0.00725,-0.00767187,-0.0088125,0.000984375
-7.592e-08,-0.0068125,-0.00748437,-0.00892187,0.00154687
-7.572e-08,-0.0075,-0.00767187,-0.00909375,0.000703125
-7.552e-08,-0.00726562,-0.0076875,-0.00875,0.00104687
-7.532e-08,-0.00675,-0.00723438,-0.00810937,0.00139062
-7.512e-08,-0.00732812,-0.00754688,-0.00901562,0.00090625
-7.492e-08,-0.00720312,-0.00779687,-0.00876562,0.000828125
-7.472e-08,-0.00695313,-0.00732812,-0.00870312,0.001
-7.452e-08,-0.00710937,-0.0075,-0.00848437,0.00115625
-7.432e-08,-0.006875,-0.00773438,-0.00845313,0.00145312
-7.412e-08,-0.00721875,-0.00775,-0.00890625,0.000921875
-7.392e-08,-0.00701562,-0.00764063,-0.00864063,0.00120312
-7.372e-08,-0.00714063,-0.00748437,-0.00870312,0.00107812
-7.352e-08,-0.00721875,-0.00734375,-0.0085,0.000734375
-7.332e-08,-0.00692187,-0.00751562,-0.0085625,0.001125
-7.312e-08,-0.00657812,-0.00725,-0.00878125,0.00145312
-7.292e-08,-0.00685938,-0.00785938,-0.0086875,0.00132812
-7.272e-08,-0.00703125,-0.00751562,-0.0091875,0.000828125
-7.252e-08,-0.00735938,-0.0078125,-0.0086875,0.0011875
-7.232e-08,-0.007125,-0.00729687,-0.0089375,0.00101562
-7.212e-08,-0.0071875,-0.00789062,-0.00871875,0.001125
-7.192e-08,-0.00698437,-0.00771875,-0.008875,0.00117187
-7.172e-08,-0.00692187,-0.00785938,-0.00839062,0.00167187
-7.152e-08,-0.007125,-0.0073125,-0.0090625,0.001125
-7.132e-08,-0.00739062,-0.00751562,-0.00909375,0.0008125
-7.112e-08,-0.00715625,-0.00773438,-0.00882813,0.00115625
-7.092e-08,-0.00726562,-0.00789062,-0.00898437,0.00123437
-7.072e-08,-0.00696875,-0.00753125,-0.00848437,0.00090625
-7.052e-08,-0.00701562,-0.00785938,-0.00867187,0.000640625
-7.032e-08,-0.007,-0.0076875,-0.00882813,0.0010625
-7.012e-08,-0.00704688,-0.0071875,-0.00854688,0.00160937
-6.992e-08,-0.00760937,-0.00770312,-0.00845313,0.000734375
-6.972e-08,-0.00725,-0.008,-0.00892187,0.000890625
-6.952e-08,-0.00682812,-0.0078125,-0.00907812,0.00132812
-6.932e-08,-0.00723438,-0.00782812,-0.00896875,0.00071875
-6.912e-08,-0.0069375,-0.0076875,-0.00879687,0.00109375
-6.892e-08,-0.00678125,-0.0073125,-0.00835938,0.00159375
-6.872e-08,-0.00742187,-0.00775,-0.00917187,0.000703125
-6.852e-08,-0.0071875,-0.00748437,-0.0088125,0.00084375
-6.832e-08,-0.00707812,-0.00760937,-0.00871875,0.000859375
-6.812e-08,-0.006875,-0.0074375,-0.00845313,0.00125
-6.792e-08,-0.00710937,-0.00739062,-0.00832813,0.0011875
-6.772e-08,-0.007125,-0.00775,-0.00889062,0.000953125
-6.752e-08,-0.00695313,-0.00745313,-0.00854688,0.0011875
-6.732e-08,-0.00710937,-0.00795313,-0.0086875,0.00104687
-6.712e-08,-0.0071875,-0.007375,-0.0085,0.00101562
-6.692e-08,-0.00709375,-0.00746875,-0.00882813,0.00104687
-6.672e-08,-0.0068125,-0.00720312,-0.00901562,0.00140625
-6.652e-08,-0.007,-0.007625,-0.00846875,0.00165625
-6.632e-08,-0.007,-0.0075625,-0.00909375,0.00120312
-6.612e-08,-0.00740625,-0.00779687,-0.00859375,0.000671875
-6.592e-08,-0.0070625,-0.00751562,-0.00889062,0.00109375
-6.572e-08,-0.00721875,-0.00767187,-0.00884375,0.0009375
-6.552e-08,-0.007125,-0.00765625,-0.00870312,0.0010625
-6.532e-08,-0.00701562,-0.00778125,-0.00835938,0.00110937
-6.512e-08,-0.00695313,-0.00760937,-0.008875,0.000890625
-6.492e-08,-0.00723438,-0.00759375,-0.0090625,0.00104687
-6.472e-08,-0.00676562,-0.00785938,-0.00889062,0.00123437
-6.452e-08,-0.0073125,-0.00796875,-0.00901562,0.0010625
-6.432e-08,-0.00703125,-0.00770312,-0.00853125,0.00114062
-6.412e-08,-0.00707812,-0.00748437,-0.00860937,0.0009375
-6.392e-08,-0.00714063,-0.00742187,-0.00879687,0.000859375
-6.372e-08,-0.00642187,-0.00725,-0.00853125,0.00165625
-6.352e-08,-0.0074375,-0.00782812,-0.00845313,0.00059375
-6.332e-08,-0.00723438,-0.00742187,-0.00885938,0.000875
-6.312e-08,-0.00698437,-0.00728125,-0.00871875,0.0010625
-6.292e-08,-0.00734375,-0.00764063,-0.00867187,0.00059375
-6.272e-08,-0.00726562,-0.00782812,-0.00882813,0.000671875
-6.252e-08,-0.00678125,-0.00728125,-0.00851562,0.0013125
-6.232e-08,-0.0075625,-0.00765625,-0.00917187,0.000765625
-6.212e-08,-0.006875,-0.00775,-0.00871875,0.00140625
-6.192e-08,-0.00701562,-0.00776562,-0.00890625,0.00104687
-6.172e-08,-0.00690625,-0.00770312,-0.00865625,0.00107812
-6.152e-08,-0.00723438,-0.00776562,-0.00842187,0.00126562
-6.132e-08,-0.0071875,-0.00776562,-0.00892187,0.0009375
-6.112e-08,-0.00701562,-0.00753125,-0.00889062,0.001125
-6.092e-08,-0.00679687,-0.00789062,-0.00865625,0.00114062
-6.072e-08,-0.00684375,-0.00751562,-0.00853125,0.00110937
-6.052e-08,-0.00726562,-0.00764063,-0.009125,0.00109375
-6.032e-08,-0.00667187,-0.00707812,-0.009,0.00125
-6.012e-08,-0.00679687,-0.00771875,-0.00876562,0.001625
-5.992e-08,-0.00696875,-0.00746875,-0.00909375,0.000953125
-5.972e-08,-0.00734375,-0.00765625,-0.00864063,0.000953125
-5.952e-08,-0.0069375,-0.00748437,-0.009,0.000984375
-5.932e-08,-0.007125,-0.00765625,-0.00875,0.0010625
-5.912e-08,-0.007125,-0.0074375,-0.0088125,0.00096875
-5.892e-08,-0.00703125,-0.007625,-0.00840625,0.00140625
-5.872e-08,-0.007125,-0.00735938,-0.00889062,0.0009375
-5.852e-08,-0.00725,-0.00759375,-0.00892187,0.000703125
-5.832e-08,-0.00717187,-0.00796875,-0.00871875,0.001125
-5.812e-08,-0.00689062,-0.00810937,-0.00876562,0.00115625
-5.792e-08,-0.00695313,-0.008,-0.0083125,0.00107812
-5.772e-08,-0.00760937,-0.0076875,-0.00864063,0.000828125
-5.752e-08,-0.00698437,-0.00742187,-0.00901562,0.000984375
-5.732e-08,-0.00670312,-0.00692187,-0.00876562,0.00146875
-5.712e-08,-0.00764063,-0.00776562,-0.008625,0.00075
-5.692e-08,-0.00709375,-0.00751562,-0.00890625,0.000921875
-5.672e-08,-0.00685938,-0.00739062,-0.00889062,0.00146875
-5.652e-08,-0.00748437,-0.00779687,-0.00885938,0.000703125
-5.632e-08,-0.00715625,-0.00771875,-0.00867187,0.00107812
-5.612e-08,-0.0064375,-0.00740625,-0.00842187,0.00159375
-5.592e-08,-0.0075625,-0.00767187,-0.00923438,0.00084375
-5.572e-08,-0.00728125,-0.0076875,-0.00859375,0.00121875
-5.552e-08,-0.00746875,-0.0074375,-0.0085,0.00096875
-5.532e-08,-0.00707812,-0.00759375,-0.0086875,0.00084375
-5.512e-08,-0.00714063,-0.00751562,-0.0085,0.001125
-5.492e-08,-0.00734375,-0.00753125,-0.00878125,0.0008125
-5.472e-08,-0.00704688,-0.0075625,-0.008375,0.0010625
-5.452e-08,-0.00717187,-0.0076875,-0.00882813,0.000921875
-5.432e-08,-0.00715625,-0.00725,-0.00854688,0.0009375
-5.412e-08,-0.00698437,-0.00732812,-0.00885938,0.000953125
-5.392e-08,-0.00670312,-0.00725,-0.009,0.0013125
-5.372e-08,-0.00704688,-0.00754688,-0.00876562,0.00146875
-5.352e-08,-0.0071875,-0.0075,-0.00903125,0.00109375
-5.332e-08,-0.00742187,-0.00803125,-0.00854688,0.000984375
-5.312e-08,-0.00698437,-0.00745313,-0.00896875,0.00109375
-5.292e-08,-0.00709375,-0.0079375,-0.00851562,0.000609375
-5.272e-08,-0.00695313,-0.00742187,-0.00876562,0.000953125
-5.252e-08,-0.00717187,-0.00770312,-0.0084375,0.00134375
-5.232e-08,-0.00698437,-0.00764063,-0.00909375,0.000984375
-5.212e-08,-0.00746875,-0.0078125,-0.00885938,0.00121875
-5.192e-08,-0.00726562,-0.00751562,-0.00853125,0.00104687
-5.172e-08,-0.00695313,-0.00754688,-0.00889062,0.00123437
-5.152e-08,-0.00704688,-0.007625,-0.00859375,0.00132812
-5.132e-08,-0.0075,-0.00792187,-0.00879687,0.000921875
-5.112e-08,-0.00714063,-0.00760937,-0.00885938,0.000953125
-5.092e-08,-0.0065625,-0.00764063,-0.00879687,0.00151562
-5.072e-08,-0.00759375,-0.0079375,-0.00848437,0.0005
-5.052e-08,-0.0070625,-0.00760937,-0.00878125,0.00090625
-5.032e-08,-0.00676562,-0.00764063,-0.008625,0.00117187
-5.012e-08,-0.00748437,-0.0078125,-0.00882813,0.000796875
-4.992e-08,-0.00714063,-0.00776562,-0.00857812,0.000953125
-4.972e-08,-0.00667187,-0.0075,-0.00889062,0.00165625
-4.952e-08,-0.0075,-0.00775,-0.00929687,0.00071875
-4.932e-08,-0.00690625,-0.00764063,-0.00878125,0.00121875
-4.912e-08,-0.00698437,-0.00759375,-0.00853125,0.000765625
-4.892e-08,-0.00676562,-0.00739062,-0.00854688,0.00125
-4.872e-08,-0.00684375,-0.00779687,-0.00846875,0.00078125
-4.852e-08,-0.00717187,-0.0075,-0.00890625,0.00115625
-4.832e-08,-0.00704688,-0.00742187,-0.00870312,0.0013125
-4.812e-08,-0.00715625,-0.0078125,-0.00865625,0.00096875
-4.792e-08,-0.0069375,-0.007375,-0.008625,0.00121875
-4.772e-08,-0.00735938,-0.00760937,-0.00875,0.000875
-4.752e-08,-0.0069375,-0.0071875,-0.0090625,0.00114062
-4.732e-08,-0.00690625,-0.00778125,-0.00871875,0.00153125
-4.712e-08,-0.00701562,-0.00760937,-0.009125,0.0009375
-4.692e-08,-0.00715625,-0.00784375,-0.00864063,0.000953125
-4.672e-08,-0.00734375,-0.00754688,-0.00909375,0.00103125
-4.652e-08,-0.00726562,-0.00771875,-0.00853125,0.000859375
-4.632e-08,-0.00698437,-0.007875,-0.00878125,0.00123437
-4.612e-08,-0.007,-0.00739062,-0.00832813,0.00123437
-4.592e-08,-0.00704688,-0.00748437,-0.0090625,0.00109375
-4.572e-08,-0.00704688,-0.0075,-0.00867187,0.001
-4.552e-08,-0.00689062,-0.00764063,-0.00898437,0.00084375
-4.532e-08,-0.0073125,-0.00759375,-0.009,0.000890625
