Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,1.6e-10,1.6e-10,1.6e-10,1.6e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,0.05
Vertical Position,-4.62,-4.52,-4.58,-4.66
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.984e-08,-0.0050625,-0.00953906,-0.00576562,-0.00342969
-9.964e-08,-0.00485156,-0.00973437,-0.00575781,-0.00353125
-9.944e-08,-0.00520313,-0.00969531,-0.00578906,-0.00351562
-9.924e-08,-0.00495313,-0.00957031,-0.00569531,-0.00345313
-9.904e-08,-0.00519531,-0.00966406,-0.00564062,-0.00344531
-9.884e-08,-0.00515625,-0.00973437,-0.00570313,-0.00332812
-9.864e-08,-0.00509375,-0.00975,-0.0058125,-0.00322656
-9.844e-08,-0.0050625,-0.00979687,-0.00566406,-0.00332812
-9.824e-08,-0.00509375,-0.00969531,-0.00589844,-0.00354688
-9.804e-08,-0.00505469,-0.00957031,-0.00561719,-0.00350781
-9.784e-08,-0.00521094,-0.00976562,-0.00579688,-0.0035
-9.764e-08,-0.005125,-0.00965625,-0.00585938,-0.00339844
-9.744e-08,-0.00485156,-0.00935937,-0.00577344,-0.00314844
-9.724e-08,-0.00489844,-0.00952344,-0.00575,-0.00333594
-9.704e-08,-0.00522656,-0.00982812,-0.00578125,-0.00332812
-9.684e-08,-0.00510156,-0.00964062,-0.00579688,-0.00332812
-9.664e-08,-0.00520313,-0.0095625,-0.00578906,-0.00352344
-9.644e-08,-0.00503125,-0.00957812,-0.00578125,-0.00347656
-9.624e-08,-0.00535937,-0.00967969,-0.00591406,-0.00351562
-9.604e-08,-0.00521094,-0.00963281,-0.00570313,-0.00332031
-9.584e-08,-0.00510937,-0.00963281,-0.00550781,-0.00319531
-9.564e-08,-0.00492969,-0.00938281,-0.00588281,-0.00354688
-9.544e-08,-0.00510937,-0.00958594,-0.00569531,-0.00355469
-9.524e-08,-0.00500781,-0.00974219,-0.00580469,-0.00334375
-9.504e-08,-0.00530469,-0.00964844,-0.00575,-0.00349219
-9.484e-08,-0.00519531,-0.00959375,-0.00590625,-0.00344531
-9.464e-08,-0.00490625,-0.00955469,-0.00559375,-0.00322656
-9.444e-08,-0.00530469,-0.00978125,-0.00586719,-0.00349219
-9.424e-08,-0.00528125,-0.00978906,-0.00576562,-0.00342969
-9.404e-08,-0.005125,-0.00975,-0.00578125,-0.00350781
-9.384e-08,-0.00503906,-0.00967187,-0.00575781,-0.00344531
-9.364e-08,-0.00504688,-0.0095,-0.00578906,-0.00348437
-9.344e-08,-0.00521094,-0.00951562,-0.00576562,-0.00352344
-9.324e-08,-0.00507812,-0.00955469,-0.00583594,-0.00345313
-9.304e-08,-0.00514062,-0.00954687,-0.00585156,-0.00347656
-9.284e-08,-0.00498437,-0.00942969,-0.00569531,-0.00347656
