Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,1.6e-10,1.6e-10,1.6e-10,1.6e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,0.05
Vertical Position,-4.62,-4.52,-4.58,-4.66
Label,,,,
TIME,CH1,CH2,CH3,CH4
-8.384e-08,-0.00500781,-0.00959375,-0.00592187,-0.00335156
-8.364e-08,-0.00507812,-0.00973437,-0.00582031,-0.00339844
-8.344e-08,-0.00517969,-0.0094375,-0.00589844,-0.00355469
-8.324e-08,-0.00520313,-0.00960156,-0.00564062,-0.00334375
-8.304e-08,-0.00482031,-0.00966406,-0.00557812,-0.00322656
-8.284e-08,-0.0049375,-0.00963281,-0.00585938,-0.00336719
-8.264e-08,-0.005,-0.009625,-0.00592969,-0.00344531
-8.244e-08,-0.00499219,-0.00972656,-0.00574219,-0.00333594
-8.224e-08,-0.00522656,-0.00966406,-0.00585156,-0.00360937
-8.204e-08,-0.00536719,-0.00969531,-0.00565625,-0.00357812
-8.184e-08,-0.00484375,-0.00949219,-0.00558594,-0.00320313
-8.164e-08,-0.00526562,-0.00989062,-0.00574219,-0.00357812
-8.144e-08,-0.00513281,-0.0098125,-0.00588281,-0.00338281
-8.124e-08,-0.00529688,-0.00978906,-0.00571875,-0.00346094
-8.104e-08,-0.00503125,-0.00964062,-0.00583594,-0.00332812
-8.084e-08,-0.00514062,-0.00963281,-0.00573437,-0.0034375
-8.064e-08,-0.00503125,-0.00965625,-0.00596094,-0.00334375
-8.044e-08,-0.00532031,-0.00985937,-0.00563281,-0.00332031
-8.024e-08,-0.00489844,-0.00953125,-0.00564062,-0.003375
-8.004e-08,-0.00507812,-0.0096875,-0.0055,-0.00349219
-7.984e-08,-0.00516406,-0.00966406,-0.00583594,-0.00342969
-7.964e-08,-0.00514844,-0.00989844,-0.0055625,-0.00334375
-7.944e-08,-0.00499219,-0.00960937,-0.00585156,-0.00332031
-7.924e-08,-0.00521875,-0.00991406,-0.00574219,-0.00341406
-7.904e-08,-0.00501562,-0.00952344,-0.00591406,-0.00353125
-7.884e-08,-0.00505469,-0.00964062,-0.00553906,-0.00340625
-7.864e-08,-0.00510937,-0.00974219,-0.00583594,-0.00348437
-7.844e-08,-0.00517969,-0.00971094,-0.00569531,-0.00336719
-7.824e-08,-0.00471094,-0.0095,-0.00585938,-0.003375
-7.804e-08,-0.00489844,-0.00957031,-0.00563281,-0.00332031
-7.784e-08,-0.00513281,-0.00979687,-0.00582031,-0.00346094
-7.764e-08,-0.00529688,-0.00979687,-0.00575781,-0.00335156
-7.744e-08,-0.00510156,-0.00953125,-0.00589844,-0.00335156
-7.724e-08,-0.00505469,-0.00957812,-0.0056875,-0.00353906
-7.704e-08,-0.00509375,-0.00952344,-0.00575781,-0.00360156
-7.684e-08,-0.00525781,-0.00974219,-0.00571094,-0.00346094
-7.664e-08,-0.00489062,-0.00967969,-0.0056875,-0.00320313
-7.644e-08,-0.00507812,-0.00964062,-0.00580469,-0.00365625
-7.624e-08,-0.00509375,-0.00950781,-0.00579688,-0.00344531
-7.604e-08,-0.00511719,-0.00971875,-0.00571875,-0.00335156
-7.584e-08,-0.00507031,-0.00967187,-0.00589844,-0.00349219
-7.564e-08,-0.0051875,-0.00964844,-0.00580469,-0.00347656
-7.544e-08,-0.00469531,-0.00950781,-0.00554688,-0.00317187
-7.524e-08,-0.00528125,-0.00991406,-0.00582031,-0.00360937
