Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.71428583,0.24606300,0.00000000,4.04466000,0.00784326
-15.63428582,0.75356790,0.00000000,4.36761800,0.00784326
-15.55428582,1.26107300,0.00000000,4.76747000,0.00787402
-15.47428582,1.78395700,0.00000000,5.21345900,0.00790477
-15.39428582,2.27608300,0.00000000,5.69020700,0.00790477
-15.31428582,2.75283000,0.00000000,6.16695300,0.00790477
-15.23428582,3.18344000,0.00000000,6.61294300,0.00790477
-15.15428582,3.53715500,0.00000000,7.04355200,0.00787402
-15.07428582,3.78321800,0.00000000,7.39726800,0.00784326
-14.99428582,3.90625000,0.00000000,7.70484700,0.00784326
-14.91428581,3.90625000,0.00000000,7.96628900,0.00784326
-14.83428581,3.78321800,0.00000000,8.16621500,0.00784326
-14.75428581,3.53715500,0.00000000,8.30462600,0.00787402
-14.67428581,3.18344000,0.00000000,8.39689900,0.00790477
-14.59428581,2.75283000,0.00000000,8.44303500,0.00790477
-14.51428581,2.27608300,0.00000000,8.44303500,0.00790477
-14.43428581,1.76857800,0.00000000,8.39689900,0.00787402
-14.35428581,1.26107300,0.00000000,8.30462600,0.00787402
-14.27428581,0.75356790,-0.01537894,8.16621500,0.00784326
-14.19428580,0.24606300,0.00000000,7.96628900,0.00784326
-14.11428580,-0.24606300,0.01537894,7.70484700,0.00787402
-14.03428580,-0.70743110,0.04613681,7.39726800,0.00793553
-13.95428580,-1.16879900,0.09227362,7.04355200,0.00805856
-13.87428580,-1.61478800,0.16916830,6.61294300,0.00821235
-13.79428580,-2.04539800,0.23068400,6.16695300,0.00836614
-13.71428580,-2.44525100,0.30757870,5.69020700,0.00851993
-13.63428580,-2.82972400,0.35371550,5.21345900,0.00858145
-13.55428580,-3.19881900,0.33833660,4.76747000,0.00855069
-13.47428580,-3.52177600,0.27682080,4.38299700,0.00839690
-13.39428579,-3.79859700,0.10765260,4.06003900,0.00805856
-13.31428579,-4.02928100,-0.13841040,3.79859700,0.00756644
-13.23428579,-4.22920700,-0.49212600,3.62942900,0.00688976
-13.15428579,-4.36761800,-0.92273620,3.50639700,0.00602854
-13.07428579,-4.44451300,-1.43024100,3.44488200,0.00501353
-12.99428579,-4.49065000,-1.96850400,3.41412400,0.00396777
-12.91428579,-4.49065000,-2.52214600,3.41412400,0.00286048
-12.83428579,-4.44451300,-3.02965000,3.42950300,0.00184547
-12.75428579,-4.36761800,-3.44488200,3.50639700,0.00098425
-12.67428578,-4.22920700,-3.75246000,3.61405000,0.00036909
-12.59428578,-4.04466000,-3.90625000,3.79859700,0.00003076
-12.51428578,-3.78321800,-3.89087100,4.06003900,0.00003076
-12.43428578,-3.47564000,-3.70632400,4.42913300,0.00036909
-12.35428578,-3.10654500,-3.35260800,4.87512300,0.00098425
-12.27428578,-2.67593500,-2.86048200,5.38262700,0.00184547
-12.19428578,-2.21456700,-2.27608300,5.92089000,0.00286048
-12.11428578,-1.73782000,-1.67630400,6.47453200,0.00396777
-12.03428578,-1.26107300,-1.09190400,6.96665800,0.00501353
-11.95428577,-0.83046260,-0.58439960,7.38188900,0.00602854
-11.87428577,-0.44598910,-0.23068400,7.67408900,0.00688976
-11.79428577,-0.12303150,-0.03075787,7.82787800,0.00756644
-11.71428577,0.10765260,-0.01537894,7.82787800,0.00805856
-11.63428577,0.26144190,-0.16916830,7.67408900,0.00839690
-11.55428577,0.33833660,-0.49212600,7.38188900,0.00855069
-11.47428577,0.33833660,-0.92273620,6.96665800,0.00858145
-11.39428577,0.30757870,-1.43024100,6.47453200,0.00851993
-11.31428577,0.23068400,-1.98388300,5.92089000,0.00836614
-11.23428577,0.16916830,-2.50676700,5.38262700,0.00821235
-11.15428576,0.09227362,-2.99889300,4.85974400,0.00805856
-11.07428576,0.04613681,-3.42950300,4.41375400,0.00793553
-10.99428576,0.01537894,-3.78321800,4.06003900,0.00787402
-10.91428576,0.00000000,-4.04466000,3.81397600,0.00784326
-10.83428576,-0.01537894,-4.24458600,3.66018700,0.00784326
-10.75428576,0.00000000,-4.36761800,3.59867100,0.00787402
-10.67428576,0.00000000,-4.45989200,3.59867100,0.00787402
-10.59428576,0.00000000,-4.49065000,3.64480800,0.00790477
-10.51428576,0.00000000,-4.49065000,3.72170300,0.00790477
-10.43428575,0.00000000,-4.45989200,3.78321800,0.00787402
-10.35428575,0.00000000,-4.36761800,3.84473400,0.00787402
-10.27428575,0.00000000,-4.24458600,3.89087100,0.00784326
-10.19428575,0.00000000,-4.04466000,3.90625000,0.00784326
-10.11428575,0.00000000,-3.78321800,3.92162900,0.00787402
-10.03428575,0.00000000,-3.42950300,3.93700800,0.00793553
-9.95428575,0.00000000,-2.99889300,3.93700800,0.00805856
-9.87428575,0.00000000,-2.50676700,3.95238700,0.00821235
-9.79428575,0.00000000,-1.98388300,3.95238700,0.00836614
-9.71428574,0.00000000,-1.43024100,3.95238700,0.00851993
-9.63428574,0.00000000,-0.92273620,3.95238700,0.00858145
-9.55428574,0.00000000,-0.49212600,3.93700800,0.00855069
-9.47428574,0.00000000,-0.18454720,3.93700800,0.00836614
-9.39428574,0.00000000,-0.01537894,3.92162900,0.00805856
-9.31428574,0.00000000,-0.01537894,3.90625000,0.00759720
-9.23428574,0.00000000,-0.18454720,3.89087100,0.00698204
-9.15428574,0.00000000,-0.49212600,3.84473400,0.00621309
-9.07428574,0.00000000,-0.92273620,3.78321800,0.00535187
-8.99428574,0.00000000,-1.43024100,3.72170300,0.00442913
-8.91428573,0.00000000,-1.98388300,3.64480800,0.00347564
-8.83428573,0.00000000,-2.50676700,3.59867100,0.00255290
-8.75428573,0.00000000,-3.01427100,3.59867100,0.00166093
-8.67428573,0.00000000,-3.44488200,3.66018700,0.00092274
-8.59428573,0.00000000,-3.78321800,3.81397600,0.00027682
-8.51428573,0.00000000,-4.02928100,4.06003900,-0.00024606
-8.43428573,0.00000000,-4.19845000,4.41375400,-0.00061516
-8.35428573,0.00000000,-4.27534400,4.85974400,-0.00086122
-8.27428573,0.00000000,-4.29072300,5.38262700,-0.00101501
-8.19428572,0.00000000,-4.25996500,5.92089000,-0.00107653
-8.11428572,0.00000000,-4.18307100,6.47453200,-0.00107653
-8.03428572,0.00000000,-4.10617600,6.96665800,-0.00101501
-7.95428572,0.00000000,-4.02928100,7.38188900,-0.00086122
-7.87428572,0.00000000,-3.96776600,7.67408900,-0.00061516
-7.79428572,0.00000000,-3.92162900,7.82787800,-0.00024606
-7.71428572,0.00000000,-3.92162900,7.82787800,0.00027682
-7.63428572,0.00000000,-3.96776600,7.67408900,0.00098425
-7.55428572,0.00000000,-4.02928100,7.38188900,0.00187623
-7.47428572,0.00000000,-4.10617600,6.96665800,0.00286048
-7.39428571,0.00000000,-4.18307100,6.47453200,0.00393701
-7.31428571,0.00000000,-4.25996500,5.92089000,0.00504429
-7.23428571,0.00000000,-4.29072300,5.38262700,0.00605930
-7.15428571,0.00000000,-4.27534400,4.85974400,0.00688976
-7.07428571,0.00000000,-4.19845000,4.41375400,0.00750492
-6.99428571,0.00000000,-4.02928100,4.06003900,0.00781250
-6.91428571,0.00000000,-3.78321800,3.81397600,0.00778174
-6.83428571,0.00000000,-3.44488200,3.66018700,0.00741265
-6.75428571,0.00000000,-3.01427100,3.59867100,0.00670522
-6.67428570,0.00000000,-2.50676700,3.59867100,0.00572097
-6.59428570,0.00000000,-1.98388300,3.64480800,0.00455217
-6.51428570,0.00000000,-1.43024100,3.72170300,0.00335261
-6.43428570,0.00000000,-0.92273620,3.78321800,0.00218381
-6.35428570,0.00000000,-0.49212600,3.84473400,0.00116880
-6.27428570,-0.01537894,-0.18454720,3.89087100,0.00046137
-6.19428570,0.00000000,-0.01537894,3.90625000,0.00006152
-6.11428570,0.01537894,-0.01537894,3.92162900,0.00003076
-6.03428570,0.04613681,-0.18454720,3.93700800,0.00033834
-5.95428569,0.09227362,-0.49212600,3.93700800,0.00098425
-5.87428569,0.16916830,-0.92273620,3.95238700,0.00184547
-5.79428569,0.23068400,-1.43024100,3.95238700,0.00286048
-5.71428569,0.30757870,-1.98388300,3.95238700,0.00396777
-5.63428569,0.35371550,-2.50676700,3.95238700,0.00501353
-5.55428569,0.33833660,-3.01427100,3.93700800,0.00602854
-5.47428569,0.27682080,-3.44488200,3.93700800,0.00688976
-5.39428569,0.10765260,-3.78321800,3.92162900,0.00756644
-5.31428569,-0.13841040,-4.02928100,3.90625000,0.00805856
-5.23428569,-0.49212600,-4.19845000,3.89087100,0.00839690
-5.15428568,-0.92273620,-4.27534400,3.84473400,0.00855069
-5.07428568,-1.43024100,-4.29072300,3.78321800,0.00858145
-4.99428568,-1.96850400,-4.25996500,3.72170300,0.00851993
-4.91428568,-2.52214600,-4.18307100,3.64480800,0.00836614
-4.83428568,-3.01427100,-4.10617600,3.59867100,0.00821235
-4.75428568,-3.44488200,-4.02928100,3.59867100,0.00805856
