Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.41818183,-0.03075787,-3.93700800,3.78321800,0.00784326
-15.33818182,-0.21530510,-4.01390200,3.47564000,0.00784326
-15.25818182,-0.58439960,-4.12155500,3.10654500,0.00787402
-15.17818182,-1.09190400,-4.27534400,2.67593500,0.00790477
-15.09818182,-1.67630400,-4.42913300,2.21456700,0.00790477
-15.01818182,-2.27608300,-4.56754400,1.73782000,0.00790477
-14.93818182,-2.86048200,-4.62906000,1.27645200,0.00787402
-14.85818182,-3.35260800,-4.61368100,0.83046260,0.00787402
-14.77818182,-3.70632400,-4.45989200,0.46136810,0.00784326
-14.69818182,-3.89087100,-4.13693400,0.13841040,0.00784326
-14.61818181,-3.90625000,-3.66018700,-0.12303150,0.00787402
-14.53818181,-3.75246000,-2.99889300,-0.30757870,0.00793553
-14.45818181,-3.44488200,-2.18380900,-0.43061020,0.00805856
-14.37818181,-3.02965000,-1.24569400,-0.50750490,0.00821235
-14.29818181,-2.52214600,-0.24606300,-0.53826270,0.00836614
-14.21818181,-1.96850400,0.78432570,-0.53826270,0.00851993
-14.13818181,-1.43024100,1.75319900,-0.50750490,0.00858145
-14.05818181,-0.92273620,2.59904000,-0.43061020,0.00855069
-13.97818181,-0.49212600,3.29109200,-0.30757870,0.00839690
-13.89818180,-0.13841040,3.76783900,-0.12303150,0.00805856
-13.81818180,0.10765260,4.01390200,0.13841040,0.00756644
-13.73818180,0.27682080,4.04466000,0.46136810,0.00688976
-13.65818180,0.33833660,3.87549200,0.83046260,0.00602854
-13.57818180,0.35371550,3.52177600,1.27645200,0.00501353
-13.49818180,0.30757870,3.06040800,1.73782000,0.00396777
-13.41818180,0.23068400,2.52214600,2.21456700,0.00286048
-13.33818180,0.16916830,1.93774600,2.67593500,0.00184547
-13.25818180,0.10765260,1.36872500,3.10654500,0.00101501
-13.17818180,0.04613681,0.79970470,3.49101900,0.00039985
-13.09818179,0.01537894,0.26144190,3.79859700,0.00006152
-13.01818179,-0.01537894,-0.26144190,4.01390200,0.00003076
-12.93818179,-0.04613681,-0.76894680,4.15231300,0.00027682
-12.85818179,-0.10765260,-1.27645200,4.18307100,0.00079970
-12.77818179,-0.16916830,-1.78395700,4.12155500,0.00153789
-12.69818179,-0.23068400,-2.27608300,4.01390200,0.00239911
-12.61818179,-0.30757870,-2.75283000,3.89087100,0.00335261
-12.53818179,-0.35371550,-3.18344000,3.76783900,0.00433686
-12.45818179,-0.35371550,-3.53715500,3.69094500,0.00532111
-12.37818178,-0.27682080,-3.78321800,3.70632400,0.00633612
-12.29818178,-0.12303150,-3.90625000,3.81397600,0.00732037
-12.21818178,0.15378940,-3.89087100,4.06003900,0.00836614
-12.13818178,0.53826270,-3.73708200,4.39837600,0.00944267
-12.05818178,1.01501000,-3.42950300,4.85974400,0.01061147
-11.97818178,1.59940900,-3.01427100,5.36724900,0.01178027
-11.89818178,2.21456700,-2.52214600,5.92089000,0.01294907
-11.81818178,2.82972400,-1.96850400,6.47453200,0.01402559
-11.73818178,3.36798700,-1.43024100,6.96665800,0.01494833
-11.65818177,3.78321800,-0.92273620,7.38188900,0.01562500
-11.57818177,4.01390200,-0.49212600,7.67408900,0.01596334
-11.49818177,4.01390200,-0.13841040,7.82787800,0.01590182
-11.41818177,3.76783900,0.10765260,7.81250000,0.01534818
-11.33818177,3.26033400,0.27682080,7.62795300,0.01436393
-11.25818177,2.52214600,0.33833660,7.28961600,0.01288755
-11.17818177,1.58403000,0.35371550,6.79749000,0.01107283
-11.09818177,0.53826270,0.30757870,6.22846900,0.00898130
-11.01818177,-0.53826270,0.23068400,5.62869100,0.00682825
-10.93818177,-1.59940900,0.16916830,5.02891200,0.00470596
-10.85818176,-2.52214600,0.09227362,4.52140800,0.00282972
-10.77818176,-3.26033400,0.04613681,4.15231300,0.00132259
-10.69818176,-3.76783900,0.01537894,3.95238700,0.00030758
-10.61818176,-3.99852300,0.00000000,3.95238700,-0.00015379
-10.53818176,-3.96776600,-0.01537894,4.15231300,-0.00009227
-10.45818176,-3.69094500,0.00000000,4.52140800,0.00049213
-10.37818176,-3.19881900,0.00000000,5.02891200,0.00147638
-10.29818176,-2.58366100,0.00000000,5.62869100,0.00273745
-10.21818176,-1.90698800,0.00000000,6.22846900,0.00409080
-10.13818175,-1.24569400,0.00000000,6.79749000,0.00538263
-10.05818175,-0.67667320,0.00000000,7.27423700,0.00652067
-9.97818175,-0.26144190,-0.01537894,7.61257400,0.00732037
-9.89818175,-0.03075787,0.00000000,7.81250000,0.00778174
-9.81818175,-0.01537894,0.01537894,7.84325700,0.00781250
-9.73818175,-0.21530510,0.04613681,7.72022600,0.00744341
-9.65818175,-0.58439960,0.09227362,7.47416300,0.00670522
-9.57818175,-1.07652500,0.16916830,7.13582600,0.00572097
-9.49818175,-1.67630400,0.23068400,6.70521600,0.00455217
-9.41818174,-2.27608300,0.30757870,6.22846900,0.00335261
-9.33818174,-2.86048200,0.33833660,5.72096400,0.00218381
-9.25818174,-3.35260800,0.33833660,5.19808000,0.00116880
-9.17818174,-3.70632400,0.26144190,4.69057600,0.00046137
-9.09818174,-3.89087100,0.10765260,4.16769200,0.00006152
-9.01818174,-3.89087100,-0.12303150,3.67556500,0.00003076
-8.93818174,-3.70632400,-0.44598910,3.16806100,0.00033834
-8.85818174,-3.35260800,-0.83046260,2.67593500,0.00098425
-8.77818174,-2.86048200,-1.26107300,2.16843000,0.00184547
-8.69818174,-2.27608300,-1.73782000,1.67630400,0.00286048
-8.61818173,-1.67630400,-2.21456700,1.19955700,0.00396777
-8.53818173,-1.09190400,-2.67593500,0.76894680,0.00501353
-8.45818173,-0.58439960,-3.10654500,0.39985230,0.00599779
-8.37818173,-0.21530510,-3.49101900,0.13841040,0.00685901
-8.29818173,-0.03075787,-3.79859700,0.01537894,0.00756644
-8.21818173,-0.03075787,-4.02928100,0.03075787,0.00808932
-8.13818173,-0.21530510,-4.18307100,0.19992620,0.00848917
-8.05818173,-0.58439960,-4.27534400,0.50750490,0.00873524
-7.97818173,-1.09190400,-4.29072300,0.92273620,0.00891978
-7.89818172,-1.67630400,-4.25996500,1.43024100,0.00898130
-7.81818172,-2.27608300,-4.18307100,1.98388300,0.00898130
-7.73818172,-2.86048200,-4.10617600,2.50676700,0.00891978
-7.65818172,-3.35260800,-4.02928100,3.01427100,0.00873524
-7.57818172,-3.70632400,-3.96776600,3.44488200,0.00848917
-7.49818172,-3.89087100,-3.92162900,3.78321800,0.00808932
-7.41818172,-3.90625000,-3.92162900,4.02928100,0.00756644
-7.33818172,-3.75246000,-3.96776600,4.19845000,0.00685901
-7.25818172,-3.44488200,-4.02928100,4.27534400,0.00599779
-7.17818172,-3.02965000,-4.10617600,4.29072300,0.00501353
-7.09818171,-2.52214600,-4.18307100,4.25996500,0.00396777
-7.01818171,-1.96850400,-4.25996500,4.18307100,0.00286048
-6.93818171,-1.43024100,-4.29072300,4.10617600,0.00184547
-6.85818171,-0.93811510,-4.27534400,4.02928100,0.00098425
-6.77818171,-0.49212600,-4.19845000,3.96776600,0.00036909
-6.69818171,-0.13841040,-4.02928100,3.93700800,0.00003076
-6.61818171,0.12303150,-3.78321800,3.92162900,0.00003076
-6.53818171,0.30757870,-3.44488200,3.92162900,0.00036909
-6.45818171,0.43061020,-3.01427100,3.93700800,0.00098425
-6.37818170,0.50750490,-2.50676700,3.93700800,0.00184547
-6.29818170,0.53826270,-1.98388300,3.95238700,0.00286048
-6.21818170,0.53826270,-1.43024100,3.95238700,0.00396777
-6.13818170,0.50750490,-0.92273620,3.95238700,0.00501353
-6.05818170,0.44598910,-0.49212600,3.93700800,0.00602854
-5.97818170,0.32295760,-0.16916830,3.92162900,0.00688976
-5.89818170,0.12303150,-0.01537894,3.92162900,0.00756644
-5.81818170,-0.15378940,-0.03075787,3.92162900,0.00805856
-5.73818170,-0.53826270,-0.23068400,3.92162900,0.00839690
-5.65818169,-1.03038900,-0.58439960,3.93700800,0.00855069
-5.57818169,-1.59940900,-1.09190400,3.95238700,0.00858145
-5.49818169,-2.21456700,-1.67630400,3.95238700,0.00851993
-5.41818169,-2.82972400,-2.27608300,3.95238700,0.00836614
-5.33818169,-3.36798700,-2.86048200,3.95238700,0.00821235
-5.25818169,-3.78321800,-3.35260800,3.93700800,0.00805856
-5.17818169,-4.01390200,-3.70632400,3.92162900,0.00793553
-5.09818169,-4.01390200,-3.89087100,3.92162900,0.00787402
-5.01818169,-3.76783900,-3.90625000,3.92162900,0.00784326
-4.93818169,-3.26033400,-3.75246000,3.92162900,0.00784326
-4.85818168,-2.52214600,-3.44488200,3.93700800,0.00787402
-4.77818168,-1.58403000,-3.02965000,3.95238700,0.00787402
-4.69818168,-0.53826270,-2.52214600,3.95238700,0.00790477
-4.61818168,0.53826270,-1.96850400,3.95238700,0.00790477
-4.53818168,1.58403000,-1.43024100,3.95238700,0.00790477
