Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.79999983,0.00000000,-4.04466000,-0.12303150,0.00784326
-15.71999982,0.03075787,-4.24458600,-0.30757870,0.00784326
-15.63999982,0.09227362,-4.36761800,-0.43061020,0.00787402
-15.55999982,0.15378940,-4.45989200,-0.50750490,0.00790477
-15.47999982,0.23068400,-4.49065000,-0.53826270,0.00790477
-15.39999982,0.30757870,-4.49065000,-0.53826270,0.00790477
-15.31999982,0.33833660,-4.44451300,-0.50750490,0.00790477
-15.23999982,0.33833660,-4.36761800,-0.43061020,0.00787402
-15.15999982,0.26144190,-4.22920700,-0.30757870,0.00784326
-15.07999982,0.10765260,-4.04466000,-0.12303150,0.00784326
-14.99999981,-0.12303150,-3.78321800,0.13841040,0.00784326
-14.91999981,-0.44598910,-3.47564000,0.46136810,0.00784326
-14.83999981,-0.83046260,-3.10654500,0.83046260,0.00787402
-14.75999981,-1.26107300,-2.67593500,1.27645200,0.00790477
-14.67999981,-1.73782000,-2.21456700,1.73782000,0.00790477
-14.59999981,-2.21456700,-1.73782000,2.21456700,0.00790477
-14.51999981,-2.67593500,-1.26107300,2.67593500,0.00790477
-14.43999981,-3.10654500,-0.83046260,3.10654500,0.00787402
-14.35999981,-3.49101900,-0.44598910,3.49101900,0.00784326
-14.27999980,-3.79859700,-0.12303150,3.79859700,0.00784326
-14.19999980,-4.02928100,0.10765260,4.01390200,0.00784326
-14.11999980,-4.18307100,0.26144190,4.15231300,0.00784326
-14.03999980,-4.27534400,0.33833660,4.18307100,0.00787402
-13.95999980,-4.29072300,0.33833660,4.12155500,0.00790477
-13.87999980,-4.25996500,0.30757870,4.01390200,0.00790477
-13.79999980,-4.18307100,0.23068400,3.89087100,0.00790477
-13.71999980,-4.10617600,0.15378940,3.75246000,0.00790477
-13.63999980,-4.02928100,0.09227362,3.67556500,0.00787402
-13.55999980,-3.96776600,0.03075787,3.69094500,0.00784326
-13.47999979,-3.93700800,0.00000000,3.81397600,0.00784326
-13.39999979,-3.92162900,0.00000000,4.06003900,0.00784326
-13.31999979,-3.92162900,0.03075787,4.44451300,0.00784326
-13.23999979,-3.93700800,0.09227362,4.95201700,0.00787402
-13.15999979,-3.93700800,0.15378940,5.53641700,0.00790477
-13.07999979,-3.95238700,0.23068400,6.16695300,0.00790477
-12.99999979,-3.95238700,0.30757870,6.78211100,0.00790477
-12.91999979,-3.95238700,0.33833660,7.30499500,0.00790477
-12.83999979,-3.93700800,0.33833660,7.72022600,0.00787402
-12.75999978,-3.92162900,0.26144190,7.93553100,0.00784326
-12.67999978,-3.92162900,0.10765260,7.93553100,0.00784326
-12.59999978,-3.92162900,-0.12303150,7.68946800,0.00784326
-12.51999978,-3.92162900,-0.44598910,7.22810000,0.00784326
-12.43999978,-3.93700800,-0.83046260,6.55142700,0.00787402
-12.35999978,-3.95238700,-1.26107300,5.69020700,0.00790477
-12.27999978,-3.95238700,-1.73782000,4.73671200,0.00790477
-12.19999978,-3.95238700,-2.21456700,3.70632400,0.00790477
-12.11999978,-3.95238700,-2.67593500,2.70669300,0.00790477
-12.03999977,-3.93700800,-3.10654500,1.76857800,0.00787402
-11.95999977,-3.92162900,-3.49101900,0.93811510,0.00784326
-11.87999977,-3.92162900,-3.79859700,0.27682080,0.00784326
-11.79999977,-3.92162900,-4.02928100,-0.23068400,0.00784326
-11.71999977,-3.92162900,-4.18307100,-0.56902060,0.00784326
-11.63999977,-3.93700800,-4.27534400,-0.76894680,0.00787402
-11.55999977,-3.95238700,-4.29072300,-0.84584150,0.00790477
-11.47999977,-3.95238700,-4.25996500,-0.84584150,0.00790477
-11.39999977,-3.95238700,-4.18307100,-0.78432570,0.00790477
-11.31999977,-3.93700800,-4.10617600,-0.67667320,0.00790477
-11.23999976,-3.93700800,-4.02928100,-0.52288380,0.00787402
-11.15999976,-3.92162900,-3.96776600,-0.35371550,0.00784326
-11.07999976,-3.92162900,-3.93700800,-0.12303150,0.00784326
-10.99999976,-3.93700800,-3.92162900,0.13841040,0.00784326
-10.91999976,-3.96776600,-3.92162900,0.46136810,0.00784326
-10.83999976,-4.02928100,-3.93700800,0.84584150,0.00787402
-10.75999976,-4.10617600,-3.93700800,1.27645200,0.00790477
-10.67999976,-4.18307100,-3.95238700,1.73782000,0.00790477
-10.59999976,-4.25996500,-3.95238700,2.21456700,0.00790477
-10.51999975,-4.29072300,-3.95238700,2.67593500,0.00790477
-10.43999975,-4.27534400,-3.93700800,3.10654500,0.00787402
-10.35999975,-4.18307100,-3.92162900,3.49101900,0.00784326
-10.27999975,-4.02928100,-3.92162900,3.79859700,0.00784326
-10.19999975,-3.79859700,-3.92162900,4.02928100,0.00784326
-10.11999975,-3.49101900,-3.92162900,4.18307100,0.00784326
-10.03999975,-3.10654500,-3.93700800,4.27534400,0.00787402
-9.95999975,-2.67593500,-3.95238700,4.29072300,0.00790477
-9.87999975,-2.21456700,-3.95238700,4.25996500,0.00790477
-9.79999974,-1.73782000,-3.95238700,4.18307100,0.00790477
-9.71999974,-1.27645200,-3.95238700,4.10617600,0.00790477
-9.63999974,-0.83046260,-3.93700800,4.02928100,0.00787402
-9.55999974,-0.46136810,-3.92162900,3.96776600,0.00784326
-9.47999974,-0.13841040,-3.92162900,3.93700800,0.00784326
-9.39999974,0.12303150,-3.92162900,3.92162900,0.00784326
-9.31999974,0.30757870,-3.92162900,3.92162900,0.00784326
-9.23999974,0.43061020,-3.93700800,3.93700800,0.00787402
-9.15999974,0.50750490,-3.95238700,3.93700800,0.00790477
-9.07999974,0.53826270,-3.95238700,3.95238700,0.00790477
-8.99999973,0.53826270,-3.95238700,3.95238700,0.00790477
-8.91999973,0.50750490,-3.95238700,3.93700800,0.00790477
-8.83999973,0.43061020,-3.93700800,3.93700800,0.00787402
-8.75999973,0.30757870,-3.92162900,3.92162900,0.00784326
-8.67999973,0.12303150,-3.92162900,3.92162900,0.00784326
-8.59999973,-0.13841040,-3.92162900,3.93700800,0.00784326
-8.51999973,-0.46136810,-3.92162900,3.96776600,0.00784326
-8.43999973,-0.83046260,-3.93700800,4.02928100,0.00787402
-8.35999973,-1.27645200,-3.95238700,4.10617600,0.00790477
-8.27999972,-1.73782000,-3.95238700,4.18307100,0.00790477
-8.19999972,-2.21456700,-3.95238700,4.25996500,0.00790477
-8.11999972,-2.67593500,-3.93700800,4.29072300,0.00790477
-8.03999972,-3.10654500,-3.93700800,4.27534400,0.00787402
-7.95999972,-3.47564000,-3.92162900,4.19845000,0.00784326
-7.87999972,-3.78321800,-3.92162900,4.02928100,0.00784326
-7.79999972,-4.04466000,-3.93700800,3.78321800,0.00784326
-7.71999972,-4.22920700,-3.96776600,3.44488200,0.00784326
-7.63999972,-4.36761800,-4.02928100,3.01427100,0.00787402
-7.55999972,-4.44451300,-4.10617600,2.50676700,0.00790477
-7.47999971,-4.49065000,-4.18307100,1.98388300,0.00790477
-7.39999971,-4.49065000,-4.25996500,1.43024100,0.00790477
-7.31999971,-4.45989200,-4.29072300,0.92273620,0.00787402
-7.23999971,-4.36761800,-4.27534400,0.49212600,0.00787402
-7.15999971,-4.24458600,-4.19845000,0.18454720,0.00784326
-7.07999971,-4.04466000,-4.02928100,0.01537894,0.00784326
-6.99999971,-3.78321800,-3.78321800,0.01537894,0.00787402
-6.91999971,-3.42950300,-3.44488200,0.18454720,0.00793553
-6.83999971,-2.99889300,-3.01427100,0.49212600,0.00805856
-6.75999970,-2.50676700,-2.50676700,0.92273620,0.00821235
-6.67999970,-1.98388300,-1.98388300,1.43024100,0.00836614
-6.59999970,-1.43024100,-1.43024100,1.98388300,0.00851993
-6.51999970,-0.92273620,-0.92273620,2.50676700,0.00858145
-6.43999970,-0.47674700,-0.49212600,3.01427100,0.00855069
-6.35999970,-0.16916830,-0.18454720,3.44488200,0.00839690
-6.27999970,-0.01537894,-0.01537894,3.78321800,0.00805856
-6.19999970,-0.04613681,-0.01537894,4.02928100,0.00756644
-6.11999970,-0.27682080,-0.18454720,4.19845000,0.00688976
-6.03999969,-0.69205210,-0.49212600,4.27534400,0.00602854
-5.95999969,-1.24569400,-0.92273620,4.29072300,0.00501353
-5.87999969,-1.90698800,-1.43024100,4.25996500,0.00396777
-5.79999969,-2.58366100,-1.98388300,4.18307100,0.00286048
-5.71999969,-3.19881900,-2.50676700,4.10617600,0.00184547
-5.63999969,-3.69094500,-3.01427100,4.02928100,0.00098425
-5.55999969,-3.96776600,-3.44488200,3.96776600,0.00036909
-5.47999969,-3.99852300,-3.78321800,3.93700800,0.00003076
-5.39999969,-3.76783900,-4.02928100,3.92162900,0.00003076
-5.31999969,-3.26033400,-4.19845000,3.92162900,0.00036909
-5.23999968,-2.52214600,-4.27534400,3.93700800,0.00098425
-5.15999968,-1.59940900,-4.29072300,3.93700800,0.00184547
-5.07999968,-0.53826270,-4.25996500,3.95238700,0.00286048
-4.99999968,0.53826270,-4.18307100,3.95238700,0.00396777
