Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.44827583,0.00000000,-3.90625000,4.06003900,0.00784326
-15.36827582,-0.01537894,-3.75246000,4.41375400,0.00793553
-15.28827582,0.00000000,-3.44488200,4.85974400,0.00805856
-15.20827582,0.00000000,-3.02965000,5.38262700,0.00821235
-15.12827582,0.00000000,-2.52214600,5.92089000,0.00836614
-15.04827582,0.00000000,-1.96850400,6.47453200,0.00851993
-14.96827582,0.00000000,-1.43024100,6.96665800,0.00858145
-14.88827582,0.00000000,-0.92273620,7.38188900,0.00855069
-14.80827582,0.00000000,-0.49212600,7.67408900,0.00839690
-14.72827582,0.00000000,-0.13841040,7.82787800,0.00805856
-14.64827581,0.00000000,0.10765260,7.82787800,0.00756644
-14.56827581,0.00000000,0.27682080,7.67408900,0.00688976
-14.48827581,0.00000000,0.33833660,7.38188900,0.00602854
-14.40827581,0.00000000,0.35371550,6.96665800,0.00501353
-14.32827581,0.00000000,0.30757870,6.47453200,0.00396777
-14.24827581,0.00000000,0.23068400,5.92089000,0.00286048
-14.16827581,0.00000000,0.16916830,5.38262700,0.00184547
-14.08827581,0.00000000,0.09227362,4.85974400,0.00098425
-14.00827581,0.00000000,0.04613681,4.41375400,0.00036909
-13.92827580,0.00000000,0.01537894,4.06003900,0.00003076
-13.84827580,0.00000000,0.00000000,3.81397600,0.00003076
-13.76827580,0.00000000,-0.01537894,3.66018700,0.00036909
-13.68827580,0.00000000,0.00000000,3.59867100,0.00098425
-13.60827580,0.00000000,0.00000000,3.59867100,0.00184547
-13.52827580,0.00000000,0.00000000,3.64480800,0.00286048
-13.44827580,0.00000000,0.00000000,3.72170300,0.00396777
-13.36827580,0.00000000,0.00000000,3.78321800,0.00501353
-13.28827580,0.00000000,0.00000000,3.84473400,0.00599779
-13.20827580,0.00000000,-0.01537894,3.89087100,0.00685901
-13.12827579,0.00000000,0.00000000,3.90625000,0.00756644
-13.04827579,0.00000000,0.01537894,3.92162900,0.00808932
-12.96827579,0.00000000,0.04613681,3.93700800,0.00848917
-12.88827579,0.00000000,0.09227362,3.93700800,0.00873524
-12.80827579,0.00000000,0.16916830,3.95238700,0.00891978
-12.72827579,0.00000000,0.23068400,3.95238700,0.00898130
-12.64827579,0.00000000,0.30757870,3.95238700,0.00898130
-12.56827579,0.00000000,0.33833660,3.95238700,0.00888903
-12.48827579,0.00000000,0.33833660,3.93700800,0.00873524
-12.40827578,-0.01537894,0.26144190,3.92162900,0.00845842
-12.32827578,0.00000000,0.10765260,3.92162900,0.00808932
-12.24827578,0.01537894,-0.12303150,3.92162900,0.00756644
-12.16827578,0.04613681,-0.44598910,3.92162900,0.00695128
-12.08827578,0.09227362,-0.83046260,3.93700800,0.00621309
-12.00827578,0.16916830,-1.26107300,3.95238700,0.00535187
-11.92827578,0.23068400,-1.73782000,3.95238700,0.00442913
-11.84827578,0.30757870,-2.21456700,3.95238700,0.00347564
-11.76827578,0.35371550,-2.67593500,3.93700800,0.00252215
-11.68827577,0.33833660,-3.10654500,3.93700800,0.00166093
-11.60827577,0.27682080,-3.49101900,3.92162900,0.00089198
-11.52827577,0.10765260,-3.79859700,3.92162900,0.00024606
-11.44827577,-0.13841040,-4.02928100,3.93700800,-0.00021531
-11.36827577,-0.49212600,-4.18307100,3.96776600,-0.00052288
-11.28827577,-0.92273620,-4.27534400,4.02928100,-0.00067667
-11.20827577,-1.43024100,-4.29072300,4.10617600,-0.00067667
-11.12827577,-1.96850400,-4.25996500,4.18307100,-0.00061516
-11.04827577,-2.52214600,-4.18307100,4.25996500,-0.00046137
-10.96827577,-3.01427100,-4.10617600,4.29072300,-0.00030758
-10.88827576,-3.44488200,-4.02928100,4.27534400,-0.00018455
-10.80827576,-3.73708200,-3.96776600,4.19845000,-0.00006152
-10.72827576,-3.90625000,-3.92162900,4.02928100,0.00000000
-10.64827576,-3.90625000,-3.92162900,3.78321800,0.00000000
-10.56827576,-3.73708200,-3.96776600,3.44488200,-0.00006152
-10.48827576,-3.44488200,-4.02928100,3.01427100,-0.00018455
-10.40827576,-3.01427100,-4.10617600,2.50676700,-0.00030758
-10.32827576,-2.52214600,-4.18307100,1.98388300,-0.00046137
-10.24827576,-1.96850400,-4.25996500,1.43024100,-0.00061516
-10.16827575,-1.43024100,-4.29072300,0.92273620,-0.00067667
-10.08827575,-0.92273620,-4.27534400,0.49212600,-0.00067667
-10.00827575,-0.49212600,-4.19845000,0.16916830,-0.00052288
-9.92827575,-0.13841040,-4.02928100,0.01537894,-0.00021531
-9.84827575,0.10765260,-3.78321800,0.03075787,0.00024606
-9.76827575,0.27682080,-3.44488200,0.23068400,0.00089198
-9.68827575,0.33833660,-3.01427100,0.58439960,0.00166093
-9.60827575,0.35371550,-2.50676700,1.09190400,0.00252215
-9.52827575,0.30757870,-1.98388300,1.67630400,0.00347564
-9.44827574,0.23068400,-1.43024100,2.27608300,0.00442913
-9.36827574,0.16916830,-0.92273620,2.86048200,0.00535187
-9.28827574,0.09227362,-0.49212600,3.35260800,0.00621309
-9.20827574,0.04613681,-0.18454720,3.70632400,0.00698204
-9.12827574,0.01537894,-0.01537894,3.89087100,0.00759720
-9.04827574,0.00000000,-0.01537894,3.89087100,0.00805856
-8.96827574,-0.01537894,-0.18454720,3.70632400,0.00836614
-8.88827574,0.00000000,-0.49212600,3.35260800,0.00855069
-8.80827574,0.00000000,-0.92273620,2.86048200,0.00858145
-8.72827574,0.00000000,-1.43024100,2.27608300,0.00851993
-8.64827573,0.00000000,-1.98388300,1.67630400,0.00836614
-8.56827573,0.00000000,-2.50676700,1.09190400,0.00821235
-8.48827573,0.00000000,-2.99889300,0.58439960,0.00805856
-8.40827573,-0.01537894,-3.42950300,0.21530510,0.00793553
-8.32827573,0.00000000,-3.78321800,0.03075787,0.00787402
-8.24827573,0.01537894,-4.04466000,0.03075787,0.00784326
-8.16827573,0.04613681,-4.24458600,0.21530510,0.00784326
-8.08827573,0.09227362,-4.36761800,0.58439960,0.00787402
-8.00827573,0.16916830,-4.45989200,1.09190400,0.00787402
-7.92827572,0.23068400,-4.49065000,1.67630400,0.00790477
-7.84827572,0.30757870,-4.49065000,2.27608300,0.00790477
-7.76827572,0.35371550,-4.44451300,2.86048200,0.00790477
-7.68827572,0.33833660,-4.36761800,3.35260800,0.00787402
-7.60827572,0.27682080,-4.22920700,3.72170300,0.00784326
-7.52827572,0.10765260,-4.04466000,3.90625000,0.00784326
-7.44827572,-0.13841040,-3.78321800,3.89087100,0.00784326
-7.36827572,-0.49212600,-3.47564000,3.66018700,0.00784326
-7.28827572,-0.92273620,-3.10654500,3.26033400,0.00787402
-7.20827572,-1.43024100,-2.67593500,2.69131400,0.00790477
-7.12827571,-1.96850400,-2.21456700,2.04539800,0.00790477
-7.04827571,-2.52214600,-1.73782000,1.36872500,0.00790477
-6.96827571,-3.02965000,-1.27645200,0.73818890,0.00787402
-6.88827571,-3.44488200,-0.83046260,0.24606300,0.00787402
-6.80827571,-3.75246000,-0.46136810,-0.04613681,0.00784326
-6.72827571,-3.90625000,-0.13841040,-0.07689468,0.00784326
-6.64827571,-3.89087100,0.12303150,0.15378940,0.00787402
-6.56827571,-3.70632400,0.30757870,0.66129420,0.00793553
-6.48827571,-3.35260800,0.43061020,1.41486200,0.00805856
-6.40827570,-2.86048200,0.50750490,2.35297700,0.00821235
-6.32827570,-2.27608300,0.53826270,3.41412400,0.00836614
-6.24827570,-1.67630400,0.53826270,4.49065000,0.00851993
-6.16827570,-1.09190400,0.50750490,5.53641700,0.00858145
-6.08827570,-0.58439960,0.43061020,6.45915300,0.00855069
-6.00827570,-0.21530510,0.30757870,7.18196300,0.00839690
-5.92827570,-0.03075787,0.12303150,7.68946800,0.00805856
-5.84827570,-0.03075787,-0.13841040,7.93553100,0.00756644
-5.76827570,-0.21530510,-0.49212600,7.93553100,0.00688976
-5.68827569,-0.58439960,-0.93811510,7.72022600,0.00602854
-5.60827569,-1.09190400,-1.43024100,7.32037400,0.00501353
-5.52827569,-1.67630400,-1.96850400,6.78211100,0.00396777
-5.44827569,-2.27608300,-2.52214600,6.16695300,0.00286048
-5.36827569,-2.86048200,-3.02965000,5.53641700,0.00184547
-5.28827569,-3.35260800,-3.44488200,4.95201700,0.00098425
-5.20827569,-3.70632400,-3.75246000,4.44451300,0.00036909
-5.12827569,-3.89087100,-3.90625000,4.06003900,0.00003076
-5.04827569,-3.89087100,-3.89087100,3.81397600,0.00003076
-4.96827569,-3.70632400,-3.70632400,3.69094500,0.00036909
-4.88827568,-3.35260800,-3.35260800,3.67556500,0.00098425
-4.80827568,-2.86048200,-2.86048200,3.75246000,0.00184547
-4.72827568,-2.27608300,-2.27608300,3.89087100,0.00286048
-4.64827568,-1.67630400,-1.67630400,4.01390200,0.00396777
-4.56827568,-1.09190400,-1.09190400,4.12155500,0.00501353
-4.48827568,-0.58439960,-0.58439960,4.18307100,0.00602854
