Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.22352983,0.00000000,-7.93553100,3.92162900,0.00784326
-15.14352982,0.00000000,-7.93553100,3.92162900,0.00784326
-15.06352982,0.00000000,-7.72022600,3.93700800,0.00787402
-14.98352982,0.00000000,-7.30499500,3.95238700,0.00787402
-14.90352982,0.00000000,-6.78211100,3.95238700,0.00790477
-14.82352982,0.00000000,-6.16695300,3.95238700,0.00790477
-14.74352982,0.00000000,-5.53641700,3.95238700,0.00790477
-14.66352982,0.00000000,-4.95201700,3.93700800,0.00787402
-14.58352982,0.00000000,-4.44451300,3.93700800,0.00784326
-14.50352982,0.00000000,-4.06003900,3.92162900,0.00784326
-14.42352981,0.00000000,-3.81397600,3.90625000,0.00784326
-14.34352981,0.00000000,-3.69094500,3.89087100,0.00784326
-14.26352981,0.00000000,-3.67556500,3.84473400,0.00787402
-14.18352981,0.00000000,-3.75246000,3.78321800,0.00790477
-14.10352981,0.00000000,-3.89087100,3.72170300,0.00790477
-14.02352981,0.00000000,-4.01390200,3.64480800,0.00790477
-13.94352981,0.00000000,-4.12155500,3.59867100,0.00790477
-13.86352981,0.00000000,-4.18307100,3.59867100,0.00787402
-13.78352981,0.00000000,-4.15231300,3.66018700,0.00784326
-13.70352980,0.00000000,-4.01390200,3.81397600,0.00784326
-13.62352980,0.00000000,-3.79859700,4.06003900,0.00784326
-13.54352980,0.00000000,-3.49101900,4.41375400,0.00784326
-13.46352980,0.00000000,-3.10654500,4.85974400,0.00787402
-13.38352980,0.00000000,-2.67593500,5.38262700,0.00790477
-13.30352980,0.00000000,-2.21456700,5.92089000,0.00790477
-13.22352980,0.00000000,-1.73782000,6.47453200,0.00790477
-13.14352980,0.00000000,-1.27645200,6.96665800,0.00790477
-13.06352980,0.00000000,-0.83046260,7.38188900,0.00787402
-12.98352980,0.00000000,-0.46136810,7.67408900,0.00784326
-12.90352979,0.00000000,-0.13841040,7.82787800,0.00784326
-12.82352979,0.00000000,0.12303150,7.82787800,0.00784326
-12.74352979,0.00000000,0.30757870,7.67408900,0.00784326
-12.66352979,0.00000000,0.43061020,7.38188900,0.00787402
-12.58352979,0.00000000,0.50750490,6.96665800,0.00790477
-12.50352979,0.00000000,0.53826270,6.47453200,0.00790477
-12.42352979,0.00000000,0.53826270,5.92089000,0.00790477
-12.34352979,0.00000000,0.50750490,5.38262700,0.00790477
-12.26352979,0.00000000,0.43061020,4.87512300,0.00787402
-12.18352978,0.00000000,0.30757870,4.42913300,0.00784326
-12.10352978,0.00000000,0.12303150,4.06003900,0.00784326
-12.02352978,0.00000000,-0.13841040,3.79859700,0.00784326
-11.94352978,0.00000000,-0.49212600,3.61405000,0.00784326
-11.86352978,0.00000000,-0.93811510,3.50639700,0.00787402
-11.78352978,0.00000000,-1.43024100,3.42950300,0.00790477
-11.70352978,0.00000000,-1.96850400,3.41412400,0.00790477
-11.62352978,0.00000000,-2.52214600,3.41412400,0.00790477
-11.54352978,0.00000000,-3.01427100,3.42950300,0.00790477
-11.46352977,0.00000000,-3.44488200,3.50639700,0.00787402
-11.38352977,0.00000000,-3.73708200,3.61405000,0.00784326
-11.30352977,0.00000000,-3.90625000,3.79859700,0.00784326
-11.22352977,0.00000000,-3.90625000,4.06003900,0.00784326
-11.14352977,0.00000000,-3.73708200,4.42913300,0.00784326
-11.06352977,0.00000000,-3.44488200,4.87512300,0.00787402
-10.98352977,0.00000000,-3.01427100,5.38262700,0.00790477
-10.90352977,0.00000000,-2.52214600,5.92089000,0.00790477
-10.82352977,0.00000000,-1.96850400,6.47453200,0.00790477
-10.74352977,0.00000000,-1.43024100,6.96665800,0.00787402
-10.66352976,0.00000000,-0.92273620,7.38188900,0.00787402
-10.58352976,0.00000000,-0.49212600,7.67408900,0.00784326
-10.50352976,0.00000000,-0.13841040,7.82787800,0.00784326
-10.42352976,0.00000000,0.10765260,7.82787800,0.00787402
-10.34352976,0.00000000,0.27682080,7.67408900,0.00793553
-10.26352976,0.00000000,0.33833660,7.38188900,0.00805856
-10.18352976,0.00000000,0.35371550,6.96665800,0.00821235
-10.10352976,0.00000000,0.30757870,6.47453200,0.00836614
-10.02352976,0.00000000,0.23068400,5.92089000,0.00851993
-9.94352975,0.00000000,0.16916830,5.38262700,0.00858145
-9.86352975,0.00000000,0.09227362,4.85974400,0.00855069
-9.78352975,0.00000000,0.04613681,4.41375400,0.00839690
-9.70352975,0.00000000,0.01537894,4.06003900,0.00805856
-9.62352975,0.00000000,0.00000000,3.81397600,0.00756644
-9.54352975,0.00000000,-0.01537894,3.66018700,0.00688976
-9.46352975,0.00000000,0.00000000,3.59867100,0.00602854
-9.38352975,0.00000000,0.00000000,3.59867100,0.00501353
-9.30352975,0.00000000,0.00000000,3.64480800,0.00396777
-9.22352974,0.00000000,0.00000000,3.72170300,0.00286048
-9.14352974,0.00000000,0.00000000,3.78321800,0.00184547
-9.06352974,0.00000000,0.00000000,3.82935500,0.00098425
-8.98352974,0.01537894,0.00000000,3.87549200,0.00036909
-8.90352974,0.00000000,0.00000000,3.90625000,0.00003076
-8.82352974,-0.01537894,0.00000000,3.93700800,0.00003076
-8.74352974,-0.04613681,0.00000000,3.98314500,0.00036909
-8.66352974,-0.09227362,0.00000000,4.04466000,0.00098425
-8.58352974,-0.16916830,0.00000000,4.10617600,0.00184547
-8.50352974,-0.23068400,0.00000000,4.18307100,0.00286048
-8.42352973,-0.30757870,0.00000000,4.25996500,0.00396777
-8.34352973,-0.35371550,0.00000000,4.29072300,0.00501353
-8.26352973,-0.33833660,0.00000000,4.27534400,0.00599779
-8.18352973,-0.27682080,-0.01537894,4.19845000,0.00685901
-8.10352973,-0.10765260,0.00000000,4.02928100,0.00756644
-8.02352973,0.13841040,0.01537894,3.78321800,0.00808932
-7.94352973,0.49212600,0.04613681,3.44488200,0.00848917
-7.86352973,0.92273620,0.09227362,3.01427100,0.00873524
-7.78352973,1.43024100,0.16916830,2.50676700,0.00891978
-7.70352972,1.96850400,0.23068400,1.98388300,0.00898130
-7.62352972,2.52214600,0.30757870,1.43024100,0.00898130
-7.54352972,3.01427100,0.35371550,0.92273620,0.00891978
-7.46352972,3.42950300,0.33833660,0.49212600,0.00873524
-7.38352972,3.73708200,0.27682080,0.18454720,0.00848917
-7.30352972,3.89087100,0.10765260,0.01537894,0.00808932
-7.22352972,3.90625000,-0.13841040,0.01537894,0.00756644
-7.14352972,3.78321800,-0.49212600,0.18454720,0.00685901
-7.06352972,3.53715500,-0.92273620,0.49212600,0.00599779
-6.98352972,3.18344000,-1.43024100,0.92273620,0.00501353
-6.90352971,2.75283000,-1.96850400,1.43024100,0.00396777
-6.82352971,2.27608300,-2.52214600,1.98388300,0.00286048
-6.74352971,1.78395700,-3.02965000,2.50676700,0.00184547
-6.66352971,1.26107300,-3.46026100,3.01427100,0.00098425
-6.58352971,0.75356790,-3.76783900,3.44488200,0.00036909
-6.50352971,0.24606300,-3.92162900,3.78321800,0.00003076
-6.42352971,-0.24606300,-3.87549200,4.02928100,0.00003076
-6.34352971,-0.75356790,-3.66018700,4.19845000,0.00036909
-6.26352971,-1.26107300,-3.24495600,4.27534400,0.00098425
-6.18352970,-1.78395700,-2.69131400,4.29072300,0.00184547
-6.10352970,-2.27608300,-2.04539800,4.25996500,0.00286048
-6.02352970,-2.75283000,-1.36872500,4.18307100,0.00396777
-5.94352970,-3.18344000,-0.73818890,4.10617600,0.00501353
-5.86352970,-3.53715500,-0.24606300,4.02928100,0.00602854
-5.78352970,-3.79859700,0.04613681,3.96776600,0.00688976
-5.70352970,-3.92162900,0.09227362,3.93700800,0.00756644
-5.62352970,-3.89087100,-0.16916830,3.92162900,0.00805856
-5.54352970,-3.69094500,-0.70743110,3.92162900,0.00839690
-5.46352969,-3.33722900,-1.50713600,3.93700800,0.00855069
-5.38352969,-2.86048200,-2.52214600,3.93700800,0.00858145
-5.30352969,-2.27608300,-3.64480800,3.95238700,0.00851993
-5.22352969,-1.67630400,-4.79822800,3.95238700,0.00836614
-5.14352969,-1.09190400,-5.87475300,3.95238700,0.00821235
-5.06352969,-0.58439960,-6.79749000,3.93700800,0.00805856
-4.98352969,-0.23068400,-7.45878400,3.92162900,0.00793553
-4.90352969,-0.03075787,-7.79712100,3.92162900,0.00787402
-4.82352969,-0.01537894,-7.79712100,3.92162900,0.00784326
-4.74352969,-0.16916830,-7.45878400,3.92162900,0.00784326
-4.66352968,-0.49212600,-6.79749000,3.93700800,0.00787402
-4.58352968,-0.92273620,-5.87475300,3.95238700,0.00787402
-4.50352968,-1.43024100,-4.79822800,3.95238700,0.00790477
-4.42352968,-1.98388300,-3.64480800,3.95238700,0.00790477
-4.34352968,-2.50676700,-2.52214600,3.95238700,0.00790477
-4.26352968,-3.01427100,-1.52251500,3.93700800,0.00787402
-4.18352968,-3.44488200,-0.70743110,3.93700800,0.00784326
