Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.23428583,-0.10765260,-3.92162900,4.16769200,0.00784326
-15.15428582,-0.27682080,-3.92162900,4.69057600,0.00784326
-15.07428582,-0.33833660,-3.93700800,5.19808000,0.00787402
-14.99428582,-0.35371550,-3.93700800,5.72096400,0.00790477
-14.91428582,-0.30757870,-3.95238700,6.22846900,0.00790477
-14.83428582,-0.23068400,-3.95238700,6.70521600,0.00790477
-14.75428582,-0.15378940,-3.95238700,7.13582600,0.00790477
-14.67428582,-0.09227362,-3.93700800,7.47416300,0.00787402
-14.59428582,-0.03075787,-3.93700800,7.72022600,0.00784326
-14.51428582,0.00000000,-3.92162900,7.84325700,0.00784326
-14.43428581,0.00000000,-3.90625000,7.81250000,0.00784326
-14.35428581,-0.03075787,-3.89087100,7.61257400,0.00784326
-14.27428581,-0.09227362,-3.84473400,7.27423700,0.00787402
-14.19428581,-0.15378940,-3.78321800,6.79749000,0.00790477
-14.11428581,-0.23068400,-3.72170300,6.22846900,0.00790477
-14.03428581,-0.30757870,-3.64480800,5.62869100,0.00790477
-13.95428581,-0.35371550,-3.59867100,5.02891200,0.00790477
-13.87428581,-0.33833660,-3.59867100,4.52140800,0.00787402
-13.79428581,-0.27682080,-3.66018700,4.15231300,0.00784326
-13.71428580,-0.10765260,-3.81397600,3.95238700,0.00784326
-13.63428580,0.13841040,-4.06003900,3.95238700,0.00784326
-13.55428580,0.49212600,-4.41375400,4.15231300,0.00784326
-13.47428580,0.92273620,-4.85974400,4.52140800,0.00787402
-13.39428580,1.43024100,-5.38262700,5.02891200,0.00790477
-13.31428580,1.96850400,-5.92089000,5.62869100,0.00790477
-13.23428580,2.52214600,-6.47453200,6.22846900,0.00790477
-13.15428580,3.01427100,-6.96665800,6.79749000,0.00790477
-13.07428580,3.44488200,-7.38188900,7.27423700,0.00787402
-12.99428580,3.73708200,-7.67408900,7.61257400,0.00784326
-12.91428579,3.90625000,-7.82787800,7.81250000,0.00784326
-12.83428579,3.90625000,-7.82787800,7.84325700,0.00784326
-12.75428579,3.73708200,-7.67408900,7.72022600,0.00784326
-12.67428579,3.44488200,-7.38188900,7.47416300,0.00787402
-12.59428579,3.01427100,-6.96665800,7.13582600,0.00790477
-12.51428579,2.52214600,-6.47453200,6.70521600,0.00790477
-12.43428579,1.96850400,-5.92089000,6.22846900,0.00790477
-12.35428579,1.43024100,-5.38262700,5.72096400,0.00790477
-12.27428579,0.92273620,-4.85974400,5.19808000,0.00787402
-12.19428578,0.47674700,-4.41375400,4.69057600,0.00784326
-12.11428578,0.13841040,-4.06003900,4.16769200,0.00784326
-12.03428578,-0.10765260,-3.81397600,3.67556500,0.00784326
-11.95428578,-0.23068400,-3.66018700,3.16806100,0.00784326
-11.87428578,-0.24606300,-3.59867100,2.67593500,0.00787402
-11.79428578,-0.18454720,-3.59867100,2.16843000,0.00790477
-11.71428578,-0.06151574,-3.64480800,1.67630400,0.00790477
-11.63428578,0.06151574,-3.72170300,1.19955700,0.00790477
-11.55428578,0.18454720,-3.78321800,0.76894680,0.00787402
-11.47428577,0.24606300,-3.82935500,0.39985230,0.00787402
-11.39428577,0.23068400,-3.87549200,0.13841040,0.00784326
-11.31428577,0.10765260,-3.90625000,0.01537894,0.00784326
-11.23428577,-0.13841040,-3.93700800,0.03075787,0.00787402
-11.15428577,-0.52288380,-3.98314500,0.19992620,0.00793553
-11.07428577,-1.01501000,-4.04466000,0.50750490,0.00805856
-10.99428577,-1.58403000,-4.10617600,0.92273620,0.00821235
-10.91428577,-2.21456700,-4.18307100,1.43024100,0.00836614
-10.83428577,-2.82972400,-4.25996500,1.98388300,0.00851993
-10.75428577,-3.36798700,-4.29072300,2.50676700,0.00858145
-10.67428576,-3.78321800,-4.27534400,3.01427100,0.00855069
-10.59428576,-3.99852300,-4.18307100,3.44488200,0.00836614
-10.51428576,-4.01390200,-4.02928100,3.78321800,0.00805856
-10.43428576,-3.76783900,-3.79859700,4.02928100,0.00759720
-10.35428576,-3.30647100,-3.49101900,4.19845000,0.00698204
-10.27428576,-2.61441900,-3.10654500,4.27534400,0.00621309
-10.19428576,-1.75319900,-2.67593500,4.29072300,0.00535187
-10.11428576,-0.78432570,-2.21456700,4.25996500,0.00442913
-10.03428576,0.24606300,-1.73782000,4.18307100,0.00347564
-9.95428575,1.24569400,-1.26107300,4.10617600,0.00255290
-9.87428575,2.16843000,-0.83046260,4.02928100,0.00166093
-9.79428575,2.98351400,-0.44598910,3.96776600,0.00092274
-9.71428575,3.64480800,-0.12303150,3.93700800,0.00027682
-9.63428575,4.15231300,0.10765260,3.92162900,-0.00024606
-9.55428575,4.50602900,0.26144190,3.92162900,-0.00061516
-9.47428575,4.70595500,0.33833660,3.93700800,-0.00086122
-9.39428575,4.79822800,0.33833660,3.93700800,-0.00101501
-9.31428575,4.79822800,0.30757870,3.95238700,-0.00107653
-9.23428574,4.73671200,0.23068400,3.95238700,-0.00107653
-9.15428574,4.61368100,0.15378940,3.95238700,-0.00101501
-9.07428574,4.45989200,0.09227362,3.93700800,-0.00086122
-8.99428574,4.27534400,0.03075787,3.92162900,-0.00061516
-8.91428574,4.04466000,0.00000000,3.92162900,-0.00024606
-8.83428574,3.78321800,0.00000000,3.92162900,0.00027682
-8.75428574,3.46026100,0.03075787,3.92162900,0.00098425
-8.67428574,3.09116600,0.09227362,3.93700800,0.00187623
-8.59428574,2.67593500,0.15378940,3.95238700,0.00286048
-8.51428574,2.21456700,0.23068400,3.95238700,0.00393701
-8.43428573,1.73782000,0.30757870,3.95238700,0.00504429
-8.35428573,1.26107300,0.35371550,3.95238700,0.00605930
-8.27428573,0.83046260,0.33833660,3.93700800,0.00688976
-8.19428573,0.44598910,0.27682080,3.92162900,0.00750492
-8.11428573,0.12303150,0.10765260,3.92162900,0.00781250
-8.03428573,-0.10765260,-0.13841040,3.92162900,0.00778174
-7.95428573,-0.26144190,-0.49212600,3.92162900,0.00741265
-7.87428573,-0.33833660,-0.92273620,3.93700800,0.00670522
-7.79428573,-0.33833660,-1.43024100,3.95238700,0.00572097
-7.71428572,-0.30757870,-1.96850400,3.95238700,0.00455217
-7.63428572,-0.23068400,-2.52214600,3.95238700,0.00335261
-7.55428572,-0.16916830,-3.01427100,3.93700800,0.00218381
-7.47428572,-0.09227362,-3.44488200,3.93700800,0.00116880
-7.39428572,-0.04613681,-3.73708200,3.92162900,0.00043061
-7.31428572,-0.01537894,-3.90625000,3.92162900,0.00006152
-7.23428572,0.00000000,-3.90625000,3.93700800,0.00006152
-7.15428572,0.01537894,-3.73708200,3.96776600,0.00043061
-7.07428572,0.00000000,-3.44488200,4.02928100,0.00116880
-6.99428572,0.00000000,-3.01427100,4.10617600,0.00218381
-6.91428571,0.00000000,-2.52214600,4.18307100,0.00335261
-6.83428571,0.00000000,-1.96850400,4.25996500,0.00455217
-6.75428571,0.00000000,-1.43024100,4.29072300,0.00572097
-6.67428571,0.00000000,-0.93811510,4.29072300,0.00670522
-6.59428571,0.01537894,-0.49212600,4.21382900,0.00741265
-6.51428571,0.00000000,-0.13841040,4.04466000,0.00778174
-6.43428571,-0.01537894,0.12303150,3.76783900,0.00781250
-6.35428571,-0.04613681,0.30757870,3.39874500,0.00750492
-6.27428571,-0.09227362,0.43061020,2.92199800,0.00688976
-6.19428570,-0.16916830,0.50750490,2.35297700,0.00605930
-6.11428570,-0.23068400,0.53826270,1.73782000,0.00504429
-6.03428570,-0.30757870,0.53826270,1.12266200,0.00393701
-5.95428570,-0.33833660,0.50750490,0.58439960,0.00286048
-5.87428570,-0.33833660,0.43061020,0.15378940,0.00187623
-5.79428570,-0.26144190,0.30757870,-0.07689468,0.00098425
-5.71428570,-0.10765260,0.12303150,-0.09227362,0.00027682
-5.63428570,0.12303150,-0.13841040,0.15378940,-0.00024606
-5.55428570,0.44598910,-0.49212600,0.63053640,-0.00061516
-5.47428569,0.83046260,-0.93811510,1.32258800,-0.00086122
-5.39428569,1.26107300,-1.43024100,2.19918800,-0.00101501
-5.31428569,1.73782000,-1.96850400,3.16806100,-0.00107653
-5.23428569,2.21456700,-2.52214600,4.19845000,-0.00107653
-5.15428569,2.67593500,-3.01427100,5.18270100,-0.00101501
-5.07428569,3.10654500,-3.44488200,6.10543700,-0.00086122
-4.99428569,3.47564000,-3.73708200,6.92052100,-0.00061516
-4.91428569,3.78321800,-3.90625000,7.56643700,-0.00024606
-4.83428569,4.04466000,-3.90625000,8.07394100,0.00027682
-4.75428569,4.22920700,-3.73708200,8.42765700,0.00092274
-4.67428568,4.36761800,-3.44488200,8.64296200,0.00166093
-4.59428568,4.44451300,-3.01427100,8.75061400,0.00255290
-4.51428568,4.49065000,-2.52214600,8.75061400,0.00347564
-4.43428568,4.49065000,-1.96850400,8.68909800,0.00442913
-4.35428568,4.44451300,-1.43024100,8.56606700,0.00535187
-4.27428568,4.36761800,-0.92273620,8.39689900,0.00621309
