Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.26060683,-0.13841040,0.10765260,4.02928100,0.00787402
-15.18060682,-0.49212600,0.24606300,4.19845000,0.00793553
-15.10060682,-0.93811510,0.32295760,4.27534400,0.00805856
-15.02060682,-1.43024100,0.33833660,4.29072300,0.00821235
-14.94060682,-1.96850400,0.30757870,4.25996500,0.00836614
-14.86060682,-2.52214600,0.23068400,4.18307100,0.00851993
-14.78060682,-3.02965000,0.16916830,4.10617600,0.00858145
-14.70060682,-3.44488200,0.09227362,4.02928100,0.00855069
-14.62060682,-3.75246000,0.04613681,3.96776600,0.00836614
-14.54060682,-3.90625000,0.01537894,3.93700800,0.00805856
-14.46060681,-3.89087100,0.00000000,3.92162900,0.00759720
-14.38060681,-3.70632400,-0.01537894,3.92162900,0.00698204
-14.30060681,-3.35260800,0.00000000,3.93700800,0.00621309
-14.22060681,-2.86048200,0.00000000,3.93700800,0.00535187
-14.14060681,-2.27608300,0.00000000,3.95238700,0.00442913
-14.06060681,-1.67630400,0.00000000,3.95238700,0.00347564
-13.98060681,-1.09190400,0.00000000,3.93700800,0.00255290
-13.90060681,-0.58439960,0.00000000,3.93700800,0.00166093
-13.82060681,-0.23068400,-0.01537894,3.92162900,0.00092274
-13.74060680,-0.03075787,0.00000000,3.92162900,0.00027682
-13.66060680,-0.01537894,0.01537894,3.93700800,-0.00024606
-13.58060680,-0.16916830,0.04613681,3.96776600,-0.00061516
-13.50060680,-0.49212600,0.09227362,4.02928100,-0.00086122
-13.42060680,-0.92273620,0.16916830,4.10617600,-0.00101501
-13.34060680,-1.43024100,0.23068400,4.18307100,-0.00107653
-13.26060680,-1.98388300,0.30757870,4.25996500,-0.00107653
-13.18060680,-2.50676700,0.33833660,4.29072300,-0.00101501
-13.10060680,-3.01427100,0.33833660,4.27534400,-0.00086122
-13.02060680,-3.44488200,0.26144190,4.18307100,-0.00061516
-12.94060679,-3.78321800,0.10765260,4.02928100,-0.00024606
-12.86060679,-4.02928100,-0.12303150,3.79859700,0.00027682
-12.78060679,-4.19845000,-0.44598910,3.49101900,0.00098425
-12.70060679,-4.27534400,-0.83046260,3.10654500,0.00187623
-12.62060679,-4.29072300,-1.26107300,2.67593500,0.00286048
-12.54060679,-4.25996500,-1.73782000,2.21456700,0.00393701
-12.46060679,-4.18307100,-2.21456700,1.73782000,0.00504429
-12.38060679,-4.10617600,-2.67593500,1.27645200,0.00605930
-12.30060679,-4.01390200,-3.10654500,0.83046260,0.00688976
-12.22060678,-3.95238700,-3.49101900,0.46136810,0.00750492
-12.14060678,-3.92162900,-3.79859700,0.13841040,0.00781250
-12.06060678,-3.93700800,-4.02928100,-0.12303150,0.00778174
-11.98060678,-3.99852300,-4.18307100,-0.30757870,0.00741265
-11.90060678,-4.12155500,-4.27534400,-0.43061020,0.00670522
-11.82060678,-4.27534400,-4.29072300,-0.50750490,0.00572097
-11.74060678,-4.42913300,-4.25996500,-0.53826270,0.00455217
-11.66060678,-4.56754400,-4.18307100,-0.53826270,0.00335261
-11.58060678,-4.64443900,-4.10617600,-0.50750490,0.00218381
-11.50060677,-4.61368100,-4.02928100,-0.43061020,0.00116880
-11.42060677,-4.47527100,-3.96776600,-0.30757870,0.00046137
-11.34060677,-4.15231300,-3.93700800,-0.12303150,0.00006152
-11.26060677,-3.64480800,-3.92162900,0.13841040,0.00003076
-11.18060677,-2.95275600,-3.92162900,0.46136810,0.00033834
-11.10060677,-2.09153500,-3.93700800,0.83046260,0.00098425
-11.02060677,-1.07652500,-3.93700800,1.27645200,0.00184547
-10.94060677,0.00000000,-3.95238700,1.73782000,0.00286048
-10.86060677,1.09190400,-3.95238700,2.21456700,0.00396777
-10.78060677,2.09153500,-3.95238700,2.67593500,0.00501353
-10.70060676,2.95275600,-3.93700800,3.10654500,0.00599779
-10.62060676,3.56791300,-3.92162900,3.49101900,0.00685901
-10.54060676,3.89087100,-3.92162900,3.79859700,0.00756644
-10.46060676,3.87549200,-3.92162900,4.02928100,0.00808932
-10.38060676,3.52177600,-3.92162900,4.18307100,0.00848917
-10.30060676,2.84510300,-3.93700800,4.27534400,0.00873524
-10.22060676,1.93774600,-3.95238700,4.29072300,0.00891978
-10.14060676,0.84584150,-3.95238700,4.25996500,0.00898130
-10.06060676,-0.30757870,-3.95238700,4.18307100,0.00898130
-9.98060675,-1.43024100,-3.93700800,4.10617600,0.00888903
-9.90060675,-2.41449300,-3.93700800,4.02928100,0.00873524
-9.82060675,-3.21419800,-3.92162900,3.96776600,0.00845842
-9.74060675,-3.75246000,-3.92162900,3.93700800,0.00808932
-9.66060675,-4.02928100,-3.93700800,3.92162900,0.00756644
-9.58060675,-4.02928100,-3.96776600,3.92162900,0.00695128
-9.50060675,-3.78321800,-4.02928100,3.93700800,0.00621309
-9.42060675,-3.36798700,-4.10617600,3.93700800,0.00535187
-9.34060675,-2.82972400,-4.18307100,3.95238700,0.00442913
-9.26060674,-2.21456700,-4.25996500,3.95238700,0.00347564
-9.18060674,-1.58403000,-4.29072300,3.95238700,0.00255290
-9.10060674,-1.01501000,-4.27534400,3.93700800,0.00166093
-9.02060674,-0.52288380,-4.18307100,3.92162900,0.00092274
-8.94060674,-0.13841040,-4.02928100,3.92162900,0.00027682
-8.86060674,0.10765260,-3.79859700,3.92162900,-0.00024606
-8.78060674,0.23068400,-3.49101900,3.92162900,-0.00061516
-8.70060674,0.24606300,-3.10654500,3.93700800,-0.00086122
-8.62060674,0.18454720,-2.67593500,3.95238700,-0.00101501
-8.54060674,0.06151574,-2.21456700,3.95238700,-0.00107653
-8.46060673,-0.06151574,-1.73782000,3.95238700,-0.00107653
-8.38060673,-0.18454720,-1.27645200,3.95238700,-0.00101501
-8.30060673,-0.24606300,-0.84584150,3.93700800,-0.00086122
-8.22060673,-0.23068400,-0.46136810,3.92162900,-0.00061516
-8.14060673,-0.10765260,-0.13841040,3.92162900,-0.00024606
-8.06060673,0.13841040,0.12303150,3.92162900,0.00027682
-7.98060673,0.52288380,0.35371550,3.92162900,0.00098425
-7.90060673,1.01501000,0.52288380,3.93700800,0.00187623
-7.82060673,1.58403000,0.67667320,3.95238700,0.00286048
-7.74060672,2.21456700,0.78432570,3.95238700,0.00393701
-7.66060672,2.82972400,0.84584150,3.95238700,0.00504429
-7.58060672,3.36798700,0.86122040,3.95238700,0.00605930
-7.50060672,3.78321800,0.78432570,3.93700800,0.00688976
-7.42060672,4.01390200,0.58439960,3.92162900,0.00750492
-7.34060672,4.01390200,0.23068400,3.92162900,0.00781250
-7.26060672,3.76783900,-0.27682080,3.92162900,0.00778174
-7.18060672,3.26033400,-0.98425190,3.92162900,0.00741265
-7.10060672,2.52214600,-1.86085100,3.93700800,0.00670522
-7.02060672,1.58403000,-2.86048200,3.95238700,0.00572097
-6.94060671,0.53826270,-3.95238700,3.95238700,0.00455217
-6.86060671,-0.53826270,-5.04429100,3.95238700,0.00335261
-6.78060671,-1.58403000,-6.04392200,3.95238700,0.00218381
-6.70060671,-2.52214600,-6.88976300,3.93700800,0.00116880
-6.62060671,-3.26033400,-7.50492100,3.93700800,0.00046137
-6.54060671,-3.76783900,-7.81250000,3.92162900,0.00006152
-6.46060671,-4.01390200,-7.79712100,3.90625000,0.00003076
-6.38060671,-4.01390200,-7.44340500,3.89087100,0.00033834
-6.30060671,-3.78321800,-6.78211100,3.84473400,0.00098425
-6.22060670,-3.36798700,-5.87475300,3.78321800,0.00184547
-6.14060670,-2.82972400,-4.79822800,3.72170300,0.00286048
-6.06060670,-2.21456700,-3.64480800,3.64480800,0.00396777
-5.98060670,-1.59940900,-2.52214600,3.59867100,0.00501353
-5.90060670,-1.01501000,-1.52251500,3.59867100,0.00602854
-5.82060670,-0.53826270,-0.70743110,3.66018700,0.00688976
-5.74060670,-0.15378940,-0.16916830,3.81397600,0.00756644
-5.66060670,0.12303150,0.09227362,4.06003900,0.00805856
-5.58060670,0.27682080,0.09227362,4.41375400,0.00839690
-5.50060669,0.35371550,-0.15378940,4.85974400,0.00855069
-5.42060669,0.35371550,-0.56902060,5.38262700,0.00858145
-5.34060669,0.30757870,-1.12266200,5.92089000,0.00851993
-5.26060669,0.23068400,-1.73782000,6.47453200,0.00836614
-5.18060669,0.15378940,-2.35297700,6.96665800,0.00821235
-5.10060669,0.09227362,-2.92199800,7.38188900,0.00805856
-5.02060669,0.03075787,-3.39874500,7.67408900,0.00793553
-4.94060669,0.00000000,-3.76783900,7.82787800,0.00787402
-4.86060669,0.00000000,-4.04466000,7.82787800,0.00784326
-4.78060669,0.03075787,-4.21382900,7.67408900,0.00784326
-4.70060668,0.09227362,-4.29072300,7.38188900,0.00787402
-4.62060668,0.15378940,-4.29072300,6.96665800,0.00787402
-4.54060668,0.23068400,-4.25996500,6.47453200,0.00790477
-4.46060668,0.30757870,-4.18307100,5.92089000,0.00790477
-4.38060668,0.35371550,-4.10617600,5.38262700,0.00790477
