Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.62352983,0.01537894,-3.92162900,3.92162900,0.00784326
-15.54352982,0.04613681,-3.96776600,3.92162900,0.00784326
-15.46352982,0.09227362,-4.02928100,3.93700800,0.00787402
-15.38352982,0.16916830,-4.10617600,3.95238700,0.00787402
-15.30352982,0.23068400,-4.18307100,3.95238700,0.00790477
-15.22352982,0.30757870,-4.25996500,3.95238700,0.00790477
-15.14352982,0.35371550,-4.29072300,3.95238700,0.00790477
-15.06352982,0.35371550,-4.27534400,3.93700800,0.00787402
-14.98352982,0.27682080,-4.18307100,3.92162900,0.00784326
-14.90352982,0.12303150,-4.02928100,3.92162900,0.00784326
-14.82352981,-0.15378940,-3.79859700,3.92162900,0.00784326
-14.74352981,-0.53826270,-3.49101900,3.92162900,0.00784326
-14.66352981,-1.01501000,-3.10654500,3.93700800,0.00787402
-14.58352981,-1.59940900,-2.67593500,3.95238700,0.00790477
-14.50352981,-2.21456700,-2.21456700,3.95238700,0.00790477
-14.42352981,-2.82972400,-1.73782000,3.95238700,0.00790477
-14.34352981,-3.36798700,-1.26107300,3.95238700,0.00790477
-14.26352981,-3.78321800,-0.83046260,3.93700800,0.00787402
-14.18352981,-4.01390200,-0.43061020,3.92162900,0.00784326
-14.10352980,-4.01390200,-0.12303150,3.92162900,0.00784326
-14.02352980,-3.76783900,0.09227362,3.92162900,0.00784326
-13.94352980,-3.26033400,0.21530510,3.92162900,0.00784326
-13.86352980,-2.52214600,0.24606300,3.93700800,0.00787402
-13.78352980,-1.58403000,0.18454720,3.95238700,0.00790477
-13.70352980,-0.53826270,0.06151574,3.95238700,0.00790477
-13.62352980,0.53826270,-0.06151574,3.95238700,0.00790477
-13.54352980,1.58403000,-0.18454720,3.95238700,0.00787402
-13.46352980,2.52214600,-0.24606300,3.93700800,0.00787402
-13.38352980,3.26033400,-0.23068400,3.92162900,0.00784326
-13.30352979,3.76783900,-0.10765260,3.92162900,0.00784326
-13.22352979,4.01390200,0.13841040,3.92162900,0.00787402
-13.14352979,4.01390200,0.47674700,3.92162900,0.00793553
-13.06352979,3.78321800,0.92273620,3.93700800,0.00805856
-12.98352979,3.36798700,1.43024100,3.95238700,0.00821235
-12.90352979,2.82972400,1.96850400,3.95238700,0.00836614
-12.82352979,2.21456700,2.52214600,3.95238700,0.00851993
-12.74352979,1.59940900,3.01427100,3.95238700,0.00858145
-12.66352979,1.01501000,3.42950300,3.93700800,0.00855069
-12.58352978,0.53826270,3.72170300,3.92162900,0.00839690
-12.50352978,0.15378940,3.89087100,3.92162900,0.00805856
-12.42352978,-0.12303150,3.92162900,3.92162900,0.00756644
-12.34352978,-0.27682080,3.82935500,3.92162900,0.00688976
-12.26352978,-0.35371550,3.62942900,3.93700800,0.00602854
-12.18352978,-0.35371550,3.35260800,3.95238700,0.00501353
-12.10352978,-0.30757870,2.99889300,3.95238700,0.00396777
-12.02352978,-0.23068400,2.58366100,3.95238700,0.00286048
-11.94352978,-0.16916830,2.12229300,3.95238700,0.00184547
-11.86352977,-0.09227362,1.59940900,3.93700800,0.00098425
-11.78352977,-0.04613681,1.01501000,3.92162900,0.00036909
-11.70352977,-0.01537894,0.35371550,3.92162900,0.00003076
-11.62352977,0.00000000,-0.38447340,3.92162900,0.00003076
-11.54352977,0.01537894,-1.19955700,3.92162900,0.00036909
-11.46352977,0.00000000,-2.09153500,3.93700800,0.00098425
-11.38352977,0.00000000,-3.04502900,3.95238700,0.00184547
-11.30352977,0.00000000,-4.01390200,3.95238700,0.00286048
-11.22352977,0.00000000,-4.96739600,3.95238700,0.00396777
-11.14352977,0.00000000,-5.85937500,3.95238700,0.00501353
-11.06352976,0.00000000,-6.64370100,3.93700800,0.00599779
-10.98352976,0.00000000,-7.25885800,3.92162900,0.00685901
-10.90352976,0.00000000,-7.70484700,3.92162900,0.00756644
-10.82352976,0.00000000,-7.93553100,3.92162900,0.00808932
-10.74352976,0.00000000,-7.96628900,3.92162900,0.00848917
-10.66352976,0.00000000,-7.79712100,3.93700800,0.00873524
-10.58352976,0.00000000,-7.47416300,3.95238700,0.00891978
-10.50352976,0.00000000,-7.01279500,3.95238700,0.00898130
-10.42352976,0.00000000,-6.47453200,3.95238700,0.00898130
-10.34352975,0.00000000,-5.89013200,3.93700800,0.00891978
-10.26352975,0.00000000,-5.29035400,3.93700800,0.00873524
-10.18352975,-0.01537894,-4.72133400,3.92162900,0.00848917
-10.10352975,0.00000000,-4.18307100,3.92162900,0.00808932
-10.02352975,0.01537894,-3.67556500,3.93700800,0.00756644
-9.94352975,0.04613681,-3.19881900,3.96776600,0.00685901
-9.86352975,0.09227362,-2.75283000,4.02928100,0.00599779
-9.78352975,0.16916830,-2.32221900,4.10617600,0.00501353
-9.70352975,0.23068400,-1.90698800,4.18307100,0.00396777
-9.62352974,0.30757870,-1.50713600,4.25996500,0.00286048
-9.54352974,0.35371550,-1.10728300,4.29072300,0.00184547
-9.46352974,0.35371550,-0.73818890,4.27534400,0.00098425
-9.38352974,0.27682080,-0.39985230,4.18307100,0.00036909
-9.30352974,0.12303150,-0.12303150,4.02928100,0.00003076
-9.22352974,-0.15378940,0.10765260,3.79859700,0.00003076
-9.14352974,-0.53826270,0.24606300,3.49101900,0.00036909
-9.06352974,-1.01501000,0.32295760,3.10654500,0.00098425
-8.98352974,-1.59940900,0.33833660,2.67593500,0.00184547
-8.90352974,-2.21456700,0.30757870,2.21456700,0.00286048
-8.82352973,-2.82972400,0.23068400,1.73782000,0.00396777
-8.74352973,-3.36798700,0.15378940,1.27645200,0.00501353
-8.66352973,-3.78321800,0.09227362,0.83046260,0.00602854
-8.58352973,-4.01390200,0.03075787,0.46136810,0.00688976
-8.50352973,-4.01390200,0.00000000,0.13841040,0.00756644
-8.42352973,-3.76783900,0.00000000,-0.12303150,0.00805856
-8.34352973,-3.26033400,0.03075787,-0.30757870,0.00839690
-8.26352973,-2.52214600,0.09227362,-0.43061020,0.00855069
-8.18352973,-1.58403000,0.15378940,-0.50750490,0.00858145
-8.10352972,-0.53826270,0.23068400,-0.53826270,0.00851993
-8.02352972,0.53826270,0.30757870,-0.53826270,0.00836614
-7.94352972,1.58403000,0.33833660,-0.50750490,0.00821235
-7.86352972,2.52214600,0.33833660,-0.43061020,0.00805856
-7.78352972,3.26033400,0.26144190,-0.30757870,0.00793553
-7.70352972,3.76783900,0.10765260,-0.12303150,0.00787402
-7.62352972,4.01390200,-0.12303150,0.13841040,0.00784326
-7.54352972,4.01390200,-0.44598910,0.46136810,0.00784326
-7.46352972,3.78321800,-0.83046260,0.83046260,0.00787402
-7.38352972,3.36798700,-1.26107300,1.27645200,0.00787402
-7.30352971,2.82972400,-1.73782000,1.73782000,0.00790477
-7.22352971,2.21456700,-2.21456700,2.21456700,0.00790477
-7.14352971,1.58403000,-2.67593500,2.67593500,0.00790477
-7.06352971,1.01501000,-3.10654500,3.10654500,0.00787402
-6.98352971,0.52288380,-3.49101900,3.49101900,0.00784326
-6.90352971,0.13841040,-3.79859700,3.79859700,0.00784326
-6.82352971,-0.10765260,-4.02928100,4.02928100,0.00784326
-6.74352971,-0.23068400,-4.18307100,4.18307100,0.00784326
-6.66352971,-0.24606300,-4.27534400,4.27534400,0.00787402
-6.58352970,-0.18454720,-4.29072300,4.29072300,0.00790477
-6.50352970,-0.06151574,-4.25996500,4.25996500,0.00790477
-6.42352970,0.06151574,-4.18307100,4.18307100,0.00790477
-6.34352970,0.18454720,-4.10617600,4.10617600,0.00790477
-6.26352970,0.24606300,-4.02928100,4.02928100,0.00787402
-6.18352970,0.23068400,-3.96776600,3.96776600,0.00784326
-6.10352970,0.10765260,-3.93700800,3.93700800,0.00784326
-6.02352970,-0.13841040,-3.92162900,3.92162900,0.00784326
-5.94352970,-0.47674700,-3.92162900,3.92162900,0.00784326
-5.86352969,-0.92273620,-3.93700800,3.93700800,0.00787402
-5.78352969,-1.43024100,-3.93700800,3.93700800,0.00790477
-5.70352969,-1.96850400,-3.95238700,3.95238700,0.00790477
-5.62352969,-2.52214600,-3.95238700,3.95238700,0.00790477
-5.54352969,-3.02965000,-3.95238700,3.95238700,0.00787402
-5.46352969,-3.44488200,-3.93700800,3.93700800,0.00787402
-5.38352969,-3.75246000,-3.92162900,3.92162900,0.00784326
-5.30352969,-3.90625000,-3.92162900,3.92162900,0.00784326
-5.22352969,-3.89087100,-3.92162900,3.92162900,0.00787402
-5.14352969,-3.70632400,-3.92162900,3.92162900,0.00793553
-5.06352968,-3.35260800,-3.93700800,3.93700800,0.00805856
-4.98352968,-2.86048200,-3.95238700,3.95238700,0.00821235
-4.90352968,-2.27608300,-3.95238700,3.95238700,0.00836614
-4.82352968,-1.67630400,-3.95238700,3.95238700,0.00851993
-4.74352968,-1.09190400,-3.95238700,3.93700800,0.00858145
-4.66352968,-0.58439960,-3.93700800,3.93700800,0.00855069
