Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-15.26060683,-0.13841040,0.00000000,3.78321800,0.00805856
-15.18060682,-0.49212600,0.03075787,3.44488200,0.00839690
-15.10060682,-0.92273620,0.09227362,3.01427100,0.00855069
-15.02060682,-1.43024100,0.15378940,2.50676700,0.00858145
-14.94060682,-1.96850400,0.23068400,1.98388300,0.00851993
-14.86060682,-2.52214600,0.30757870,1.43024100,0.00836614
-14.78060682,-3.02965000,0.35371550,0.92273620,0.00821235
-14.70060682,-3.44488200,0.33833660,0.49212600,0.00805856
-14.62060682,-3.75246000,0.27682080,0.18454720,0.00793553
-14.54060682,-3.90625000,0.10765260,0.01537894,0.00787402
-14.46060681,-3.89087100,-0.13841040,0.01537894,0.00784326
-14.38060681,-3.70632400,-0.49212600,0.18454720,0.00784326
-14.30060681,-3.35260800,-0.92273620,0.49212600,0.00787402
-14.22060681,-2.86048200,-1.43024100,0.92273620,0.00787402
-14.14060681,-2.27608300,-1.96850400,1.43024100,0.00790477
-14.06060681,-1.67630400,-2.52214600,1.98388300,0.00790477
-13.98060681,-1.09190400,-3.02965000,2.50676700,0.00790477
-13.90060681,-0.58439960,-3.44488200,3.01427100,0.00787402
-13.82060681,-0.23068400,-3.75246000,3.44488200,0.00784326
-13.74060680,-0.03075787,-3.90625000,3.78321800,0.00784326
-13.66060680,-0.01537894,-3.89087100,4.02928100,0.00784326
-13.58060680,-0.16916830,-3.70632400,4.19845000,0.00784326
-13.50060680,-0.49212600,-3.35260800,4.27534400,0.00787402
-13.42060680,-0.92273620,-2.86048200,4.29072300,0.00790477
-13.34060680,-1.43024100,-2.27608300,4.25996500,0.00790477
-13.26060680,-1.98388300,-1.67630400,4.18307100,0.00790477
-13.18060680,-2.50676700,-1.09190400,4.10617600,0.00790477
-13.10060680,-2.99889300,-0.58439960,4.02928100,0.00787402
-13.02060680,-3.42950300,-0.23068400,3.96776600,0.00784326
-12.94060679,-3.78321800,-0.03075787,3.93700800,0.00784326
-12.86060679,-4.04466000,-0.01537894,3.92162900,0.00784326
-12.78060679,-4.24458600,-0.16916830,3.92162900,0.00784326
-12.70060679,-4.36761800,-0.49212600,3.93700800,0.00787402
-12.62060679,-4.45989200,-0.92273620,3.93700800,0.00790477
-12.54060679,-4.49065000,-1.43024100,3.95238700,0.00790477
-12.46060679,-4.49065000,-1.98388300,3.95238700,0.00790477
-12.38060679,-4.44451300,-2.50676700,3.95238700,0.00790477
-12.30060679,-4.36761800,-3.01427100,3.93700800,0.00787402
-12.22060678,-4.22920700,-3.44488200,3.92162900,0.00784326
-12.14060678,-4.04466000,-3.78321800,3.92162900,0.00784326
-12.06060678,-3.78321800,-4.02928100,3.92162900,0.00784326
-11.98060678,-3.47564000,-4.19845000,3.92162900,0.00784326
-11.90060678,-3.10654500,-4.27534400,3.93700800,0.00787402
-11.82060678,-2.67593500,-4.29072300,3.95238700,0.00790477
-11.74060678,-2.21456700,-4.25996500,3.95238700,0.00790477
-11.66060678,-1.73782000,-4.18307100,3.95238700,0.00790477
-11.58060678,-1.26107300,-4.10617600,3.93700800,0.00787402
-11.50060677,-0.83046260,-4.02928100,3.93700800,0.00787402
-11.42060677,-0.43061020,-3.96776600,3.92162900,0.00784326
-11.34060677,-0.12303150,-3.92162900,3.92162900,0.00784326
-11.26060677,0.09227362,-3.92162900,3.93700800,0.00787402
-11.18060677,0.21530510,-3.96776600,3.96776600,0.00793553
-11.10060677,0.24606300,-4.02928100,4.02928100,0.00805856
-11.02060677,0.18454720,-4.10617600,4.10617600,0.00821235
-10.94060677,0.06151574,-4.18307100,4.18307100,0.00836614
-10.86060677,-0.06151574,-4.25996500,4.25996500,0.00851993
-10.78060677,-0.18454720,-4.29072300,4.29072300,0.00858145
-10.70060676,-0.24606300,-4.27534400,4.27534400,0.00855069
-10.62060676,-0.21530510,-4.19845000,4.19845000,0.00836614
-10.54060676,-0.09227362,-4.02928100,4.02928100,0.00805856
-10.46060676,0.12303150,-3.78321800,3.78321800,0.00759720
-10.38060676,0.43061020,-3.44488200,3.44488200,0.00698204
-10.30060676,0.83046260,-3.01427100,3.01427100,0.00621309
-10.22060676,1.26107300,-2.50676700,2.50676700,0.00535187
-10.14060676,1.73782000,-1.98388300,1.98388300,0.00442913
-10.06060676,2.21456700,-1.43024100,1.43024100,0.00347564
-9.98060675,2.67593500,-0.92273620,0.92273620,0.00255290
-9.90060675,3.10654500,-0.49212600,0.49212600,0.00166093
-9.82060675,3.47564000,-0.18454720,0.18454720,0.00092274
-9.74060675,3.78321800,-0.01537894,0.01537894,0.00027682
-9.66060675,4.04466000,-0.01537894,0.01537894,-0.00024606
-9.58060675,4.22920700,-0.18454720,0.18454720,-0.00061516
-9.50060675,4.36761800,-0.49212600,0.49212600,-0.00086122
-9.42060675,4.44451300,-0.92273620,0.92273620,-0.00101501
-9.34060675,4.49065000,-1.43024100,1.43024100,-0.00107653
-9.26060674,4.49065000,-1.98388300,1.98388300,-0.00107653
-9.18060674,4.44451300,-2.50676700,2.50676700,-0.00101501
-9.10060674,4.36761800,-3.01427100,3.01427100,-0.00086122
-9.02060674,4.22920700,-3.44488200,3.44488200,-0.00061516
-8.94060674,4.02928100,-3.78321800,3.78321800,-0.00024606
-8.86060674,3.79859700,-4.02928100,4.02928100,0.00027682
-8.78060674,3.52177600,-4.19845000,4.19845000,0.00098425
-8.70060674,3.19881900,-4.27534400,4.27534400,0.00187623
-8.62060674,2.82972400,-4.29072300,4.29072300,0.00286048
-8.54060674,2.44525100,-4.25996500,4.25996500,0.00393701
-8.46060673,2.04539800,-4.18307100,4.18307100,0.00504429
-8.38060673,1.61478800,-4.10617600,4.10617600,0.00605930
-8.30060673,1.16879900,-4.02928100,4.02928100,0.00688976
-8.22060673,0.70743110,-3.96776600,3.96776600,0.00750492
-8.14060673,0.24606300,-3.93700800,3.93700800,0.00781250
-8.06060673,-0.24606300,-3.92162900,3.92162900,0.00778174
-7.98060673,-0.75356790,-3.92162900,3.92162900,0.00741265
-7.90060673,-1.26107300,-3.93700800,3.93700800,0.00670522
-7.82060673,-1.76857800,-3.93700800,3.93700800,0.00572097
-7.74060672,-2.27608300,-3.95238700,3.95238700,0.00455217
-7.66060672,-2.75283000,-3.95238700,3.95238700,0.00335261
-7.58060672,-3.18344000,-3.93700800,3.95238700,0.00218381
-7.50060672,-3.53715500,-3.93700800,3.93700800,0.00116880
-7.42060672,-3.78321800,-3.92162900,3.92162900,0.00046137
-7.34060672,-3.90625000,-3.92162900,3.92162900,0.00006152
-7.26060672,-3.89087100,-3.93700800,3.92162900,0.00003076
-7.18060672,-3.73708200,-3.96776600,3.92162900,0.00033834
-7.10060672,-3.42950300,-4.02928100,3.93700800,0.00098425
-7.02060672,-3.01427100,-4.10617600,3.95238700,0.00184547
-6.94060671,-2.52214600,-4.18307100,3.95238700,0.00286048
-6.86060671,-1.96850400,-4.25996500,3.95238700,0.00396777
-6.78060671,-1.43024100,-4.29072300,3.95238700,0.00501353
-6.70060671,-0.93811510,-4.27534400,3.93700800,0.00602854
-6.62060671,-0.49212600,-4.18307100,3.92162900,0.00688976
-6.54060671,-0.13841040,-4.02928100,3.92162900,0.00756644
-6.46060671,0.12303150,-3.79859700,3.92162900,0.00805856
-6.38060671,0.30757870,-3.49101900,3.92162900,0.00839690
-6.30060671,0.43061020,-3.10654500,3.93700800,0.00855069
-6.22060670,0.50750490,-2.67593500,3.95238700,0.00858145
-6.14060670,0.53826270,-2.21456700,3.95238700,0.00851993
-6.06060670,0.53826270,-1.73782000,3.95238700,0.00836614
-5.98060670,0.50750490,-1.26107300,3.95238700,0.00821235
-5.90060670,0.43061020,-0.83046260,3.93700800,0.00805856
-5.82060670,0.30757870,-0.44598910,3.92162900,0.00793553
-5.74060670,0.12303150,-0.12303150,3.92162900,0.00787402
-5.66060670,-0.13841040,0.10765260,3.92162900,0.00784326
-5.58060670,-0.46136810,0.26144190,3.92162900,0.00784326
-5.50060669,-0.83046260,0.33833660,3.93700800,0.00787402
-5.42060669,-1.27645200,0.33833660,3.95238700,0.00787402
-5.34060669,-1.73782000,0.30757870,3.95238700,0.00790477
-5.26060669,-2.21456700,0.23068400,3.95238700,0.00790477
-5.18060669,-2.67593500,0.15378940,3.95238700,0.00787402
-5.10060669,-3.10654500,0.09227362,3.93700800,0.00787402
-5.02060669,-3.47564000,0.03075787,3.92162900,0.00784326
-4.94060669,-3.78321800,0.00000000,3.92162900,0.00784326
-4.86060669,-4.04466000,0.00000000,3.92162900,0.00787402
-4.78060669,-4.22920700,0.03075787,3.92162900,0.00793553
-4.70060668,-4.36761800,0.09227362,3.93700800,0.00805856
-4.62060668,-4.44451300,0.15378940,3.95238700,0.00821235
-4.54060668,-4.49065000,0.23068400,3.95238700,0.00836614
-4.46060668,-4.49065000,0.30757870,3.95238700,0.00851993
-4.38060668,-4.44451300,0.35371550,3.95238700,0.00858145
