Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,5.7e-09,5.7e-09,5.7e-09,5.7e-09
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.88,-3.98,-3.8,-3.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-7.150e-08,-0.008,-0.002,4.44089e-17,0
-7.130e-08,0,-0.002,-0.004,0
-7.110e-08,-0.004,-0.002,-0.008,0.004
-7.090e-08,0,0.002,-0.008,0.008
-7.070e-08,-0.008,-0.002,-0.004,0.004
-7.050e-08,0,0.002,-0.004,0
-7.030e-08,-0.004,-0.006,-0.004,0.008
-7.010e-08,-0.004,-0.002,-0.004,0.008
-6.990e-08,0,-0.006,-0.004,0.004
-6.970e-08,0,-0.002,-0.008,0.004
-6.950e-08,-0.004,-0.006,-0.004,0
-6.930e-08,0,-0.002,4.44089e-17,0
-6.910e-08,0,-0.006,-0.004,0.008
-6.890e-08,0.004,-0.006,4.44089e-17,0.008
-6.870e-08,-0.008,-0.002,4.44089e-17,0
-6.850e-08,0,-0.006,-0.008,0.008
-6.830e-08,0,-0.006,-0.004,0.004
-6.810e-08,0,0.002,-0.008,0.008
-6.790e-08,-0.008,-0.002,-0.004,0.004
-6.770e-08,-0.008,0.002,-0.008,0.004
-6.750e-08,-0.008,-0.002,-0.004,0.004
-6.730e-08,0,0.002,-0.008,0
-6.710e-08,-0.004,-0.006,-0.004,-0.004
-6.690e-08,-0.004,-0.006,-0.004,0
-6.670e-08,-0.004,-0.006,4.44089e-17,0
-6.650e-08,0,-0.002,-0.004,0
-6.630e-08,-0.004,-0.002,-0.008,0.008
-6.610e-08,-0.004,-0.002,-0.004,0.008
-6.590e-08,-0.012,-0.002,-0.008,0.008
-6.570e-08,-0.004,-0.002,-0.004,0.008
-6.550e-08,-0.008,-0.01,-0.004,0.008
-6.530e-08,-0.004,-0.002,-0.008,0.008
-6.510e-08,-0.008,-0.006,-0.004,0.004
